"","station","station_id","line_name","entry_exits_period","mean_hourly_entries","mean_hourly_exits"
"121","138 ST-GR CONC","416","45","0:4",25.325,47.3
"122","138 ST-GR CONC","416","45","12:16",140.65,131.4
"123","138 ST-GR CONC","416","45","16:20",218.4,172.575
"124","138 ST-GR CONC","416","45","20:0",69.25,79.625
"125","138 ST-GR CONC","416","45","4:8",107.85,71.125
"126","138 ST-GR CONC","416","45","8:12",168.35,161.8
"127","14 ST","132","123FLM","0:4",315.975,93.05
"128","14 ST","132","123FLM","12:16",801.45,559.5
"129","14 ST","132","123FLM","16:20",1536.825,793.425
"130","14 ST","132","123FLM","20:0",938.45,388.2
"131","14 ST","132","123FLM","4:8",107.25,114.1
"132","14 ST","132","123FLM","8:12",777.75,644.925
"133","14 ST","A31","ACEL","0:4",766.725,380
"134","14 ST","A31","ACEL","12:16",1098.55,839.6
"135","14 ST","A31","ACEL","16:20",1711.4,872.5
"136","14 ST","A31","ACEL","4:8",159.65,464.45
"137","14 ST","A31","ACEL","8:12",505.1,1292.8
"138","14 ST-6 AVE","132","123FLM","0:4",156.1,130.475
"139","14 ST-6 AVE","132","123FLM","12:16",724.7,985.275
"140","14 ST-6 AVE","132","123FLM","16:20",1631.675,1332.025
"141","14 ST-6 AVE","132","123FLM","20:0",864.975,569.225
"142","14 ST-6 AVE","132","123FLM","4:8",60.175,188.025
"143","14 ST-6 AVE","132","123FLM","8:12",484.8,1344.75
"144","14 ST-UNION SQ","635","456LNQR","0:4",4954.7,2067.4
"145","14 ST-UNION SQ","635","456LNQR","12:16",5411.05,5373.575
"146","14 ST-UNION SQ","635","456LNQR","16:20",8786.05,5870.3
"147","14 ST-UNION SQ","635","456LNQR","4:8",730.35,1769.025
"148","14 ST-UNION SQ","635","456LNQR","8:12",2944.2,5869.45
"149","145 ST","114","1","0:4",63.675,190.15
"150","145 ST","114","1","12:16",506.225,290.225
"151","145 ST","114","1","16:20",536.45,601.05
"152","145 ST","114","1","20:0",279.175,455.325
"153","145 ST","114","1","4:8",175.875,73.775
"154","145 ST","114","1","8:12",711.775,203.5
"155","145 ST","302","3","0:4",17.225,2.65
"156","145 ST","302","3","12:16",167.175,7.65
"157","145 ST","302","3","16:20",184.575,9.85
"158","145 ST","302","3","20:0",78.1,6.675
"159","145 ST","302","3","4:8",68.95,1.4
"160","145 ST","302","3","8:12",312.425,7.65
"161","145 ST","A12","ABCD","0:4",149.375,430.1
"162","145 ST","A12","ABCD","12:16",1000.625,707.875
"163","145 ST","A12","ABCD","16:20",1218.175,1648.7
"164","145 ST","A12","ABCD","20:0",601.875,1133.15
"165","145 ST","A12","ABCD","4:8",390.65,189.875
"166","145 ST","A12","ABCD","8:12",1588.425,628.75
"167","148 ST-LENOX","301","3","0:4",16.875,66.25
"168","148 ST-LENOX","301","3","12:16",177.625,110.4
"169","148 ST-LENOX","301","3","16:20",213.725,290.775
"170","148 ST-LENOX","301","3","20:0",81.2,188.275
"171","148 ST-LENOX","301","3","4:8",72.7,19.35
"172","148 ST-LENOX","301","3","8:12",337.325,132.3
"173","149 ST-3 AVE","221","25","0:4",109.15,136.575
"174","149 ST-3 AVE","221","25","12:16",1198.475,403.65
"175","149 ST-3 AVE","221","25","16:20",1518.725,671.4
"176","149 ST-3 AVE","221","25","20:0",539.4,348.35
"177","149 ST-3 AVE","221","25","4:8",504.55,98.45
"178","149 ST-3 AVE","221","25","8:12",1634.4,500.65
"179","149 ST-GR CONC","222","245","0:4",100.95,119.05
"180","149 ST-GR CONC","222","245","12:16",579.125,292.275
"181","149 ST-GR CONC","222","245","16:20",803.425,343.775
"182","149 ST-GR CONC","222","245","20:0",308.825,204.75
"183","149 ST-GR CONC","222","245","4:8",161.475,90.525
"184","149 ST-GR CONC","222","245","8:12",544.575,343.65
"185","14TH STREET","132","123FLM","0:4",197.775,74.325
"186","14TH STREET","132","123FLM","12:16",212.1,457.325
"187","14TH STREET","132","123FLM","16:20",538.125,417.9
"188","14TH STREET","132","123FLM","20:0",682.7,407.5
"189","14TH STREET","132","123FLM","4:8",63.6,69.525
"190","14TH STREET","132","123FLM","8:12",215.825,570.5
"191","15 ST-PROSPECT","F25","FG","0:4",25.3,33.1
"192","15 ST-PROSPECT","F25","FG","12:16",246.15,119.025
"193","15 ST-PROSPECT","F25","FG","16:20",284.25,254.75
"194","15 ST-PROSPECT","F25","FG","20:0",119.125,148.225
"195","15 ST-PROSPECT","F25","FG","4:8",114.95,16.25
"196","15 ST-PROSPECT","F25","FG","8:12",587.575,64.425
"197","155 ST","A11","AC","0:4",54.775,144.3
"198","155 ST","A11","AC","12:16",139.025,100.725
