"","station","station_id","line_name","entry_exits_period","mean_hourly_entries","mean_hourly_exits"
"503","36 ST","G20","EMR","16:20",444.875,101.825
"504","36 ST","G20","EMR","4:8",56.45,127.975
"505","36 ST","G20","EMR","8:12",185.125,316.425
"506","36 ST","R36","DNR","0:4",219.85,344.625
"507","36 ST","R36","DNR","12:16",579.925,344.1
"508","36 ST","R36","DNR","16:20",836.8,533.325
"509","36 ST","R36","DNR","4:8",414.1,173.375
"510","36 ST","R36","DNR","8:12",668,377.775
"511","4 AVE","F23","DFGNR","0:4",28.55,58.55
"512","4 AVE","F23","DFGNR","12:16",157.475,158.7
"513","4 AVE","F23","DFGNR","16:20",280.475,360.45
"514","4 AVE","F23","DFGNR","20:0",119.5,225.725
"515","4 AVE","F23","DFGNR","4:8",29.45,45.325
"516","4 AVE","F23","DFGNR","8:12",223.05,222.15
"517","40 ST-LOWERY ST","715","7","0:4",48.125,156
"518","40 ST-LOWERY ST","715","7","12:16",476.55,310.9
"519","40 ST-LOWERY ST","715","7","16:20",610.075,705.475
"520","40 ST-LOWERY ST","715","7","20:0",246.725,499.6
"521","40 ST-LOWERY ST","715","7","4:8",182.975,104.75
"522","40 ST-LOWERY ST","715","7","8:12",834.15,357.075
"523","42 ST-BRYANT PK","D16","7BDFM","0:4",432.475,137.2
"524","42 ST-BRYANT PK","D16","7BDFM","12:16",1382.35,1761.05
"525","42 ST-BRYANT PK","D16","7BDFM","16:20",4341.525,1816.725
"526","42 ST-BRYANT PK","D16","7BDFM","20:0",1863.9,630.3
"527","42 ST-BRYANT PK","D16","7BDFM","4:8",90.825,384.95
"528","42 ST-BRYANT PK","D16","7BDFM","8:12",465,3846.425
"529","42 ST-GRD CNTRL","631","4567GS","0:4",2057.7,1362.925
"530","42 ST-GRD CNTRL","631","4567GS","12:16",6455.95,5578.25
"531","42 ST-GRD CNTRL","631","4567GS","16:20",14569.65,7967.8
"532","42 ST-GRD CNTRL","631","4567GS","20:0",2974.125,1359.875
"533","42 ST-GRD CNTRL","631","4567GS","4:8",1319.025,2994.075
"534","42 ST-GRD CNTRL","631","4567GS","8:12",6235.025,12086.625
"535","42 ST-PA BUS TE","A27","1237ACEGNQRS","0:4",2274.925,1051.6
"536","42 ST-PA BUS TE","A27","1237ACEGNQRS","12:16",3520.375,3526.675
"537","42 ST-PA BUS TE","A27","1237ACEGNQRS","16:20",5236.2,6779.1
"538","42 ST-PA BUS TE","A27","1237ACEGNQRS","20:0",4474.1,4161
"539","42 ST-PA BUS TE","A27","1237ACEGNQRS","4:8",1899.375,604.975
"540","42 ST-PA BUS TE","A27","1237ACEGNQRS","8:12",6905.15,2704.25
"541","42 ST-TIMES SQ","127","1237ACEGNQRS","0:4",1712.025,621.725
"542","42 ST-TIMES SQ","127","1237ACEGNQRS","12:16",3482,4473.35
"543","42 ST-TIMES SQ","127","1237ACEGNQRS","16:20",8619.125,5900.95
"544","42 ST-TIMES SQ","127","1237ACEGNQRS","20:0",5038.35,2531.4
"545","42 ST-TIMES SQ","127","1237ACEGNQRS","4:8",594.15,788.825
"546","42 ST-TIMES SQ","127","1237ACEGNQRS","8:12",2406.1,6474.725
"547","45 ST","R39","NR","0:4",19.65,93.25
"548","45 ST","R39","NR","12:16",286.7,164.65
"549","45 ST","R39","NR","16:20",374.6,391.2
"550","45 ST","R39","NR","20:0",140.975,226.25
"551","45 ST","R39","NR","4:8",173.65,37.525
"552","45 ST","R39","NR","8:12",597.35,164.925
"553","46 ST","G18","EMR","0:4",158.3,358.425
"554","46 ST","G18","EMR","12:16",447.125,320.725
"555","46 ST","G18","EMR","16:20",373.75,654
"556","46 ST","G18","EMR","4:8",357.975,141.8
"557","46 ST","G18","EMR","8:12",714.975,223.275
"558","46 ST-BLISS ST","714","7","0:4",78.875,212.05
"559","46 ST-BLISS ST","714","7","12:16",604.45,375.575
"560","46 ST-BLISS ST","714","7","16:20",714.75,885.05
"561","46 ST-BLISS ST","714","7","20:0",299.6,613.525
"562","46 ST-BLISS ST","714","7","4:8",287.1,93.625
"563","46 ST-BLISS ST","714","7","8:12",1165.1,279.225
"564","47-50 ST-ROCK","D15","BDFM","0:4",749.825,157
"565","47-50 ST-ROCK","D15","BDFM","12:16",2243.675,2874.85
"566","47-50 ST-ROCK","D15","BDFM","16:20",8526.55,2884.15
"567","47-50 ST-ROCK","D15","BDFM","20:0",3208.45,933.35
"568","47-50 ST-ROCK","D15","BDFM","4:8",105.125,742.625
"569","47-50 ST-ROCK","D15","BDFM","8:12",552.8,7824.325
"570","49 ST-7 AVE","R15","NQR","0:4",393.05,120.675
"571","49 ST-7 AVE","R15","NQR","12:16",1005.075,1002.675
"572","49 ST-7 AVE","R15","NQR","16:20",2492.15,1291.5
"573","49 ST-7 AVE","R15","NQR","20:0",1421.725,632.4
"574","49 ST-7 AVE","R15","NQR","4:8",76.225,297.9
"575","49 ST-7 AVE","R15","NQR","8:12",550.725,1945.475
"576","5 AVE-53 ST","F12","EM","0:4",343.925,95.2
"577","5 AVE-53 ST","F12","EM","12:16",492.2,2413.025
"578","5 AVE-53 ST","F12","EM","16:20",2051.375,1267.25
"579","5 AVE-53 ST","F12","EM","20:0",3176.6,643.725
"580","5 AVE-53 ST","F12","EM","4:8",25.45,28.475
"581","5 AVE-53 ST","F12","EM","8:12",76.1,2245.475
"582","5 AVE-59 ST","R13","NR","0:4",368.05,112.175
"583","5 AVE-59 ST","R13","NR","12:16",458.1,1162.75
"584","5 AVE-59 ST","R13","NR","16:20",1555.825,891.3
"585","5 AVE-59 ST","R13","NR","20:0",2051,432.75
"586","5 AVE-59 ST","R13","NR","4:8",49.75,93.8
"587","5 AVE-59 ST","R13","NR","8:12",87.225,691.825
"588","5 AVE-BRYANT PK","D16","7BDFM","0:4",115.075,42.875
"589","5 AVE-BRYANT PK","D16","7BDFM","12:16",452.675,567.825
"590","5 AVE-BRYANT PK","D16","7BDFM","16:20",1500.15,535.875
"591","5 AVE-BRYANT PK","D16","7BDFM","20:0",631.325,200.75
"592","5 AVE-BRYANT PK","D16","7BDFM","4:8",19.75,137.95
"593","5 AVE-BRYANT PK","D16","7BDFM","8:12",125.075,1245.5
"594","50 ST","126","1","0:4",333.175,121.8
"595","50 ST","126","1","12:16",875.675,1018.125
"596","50 ST","126","1","16:20",2697.4,1337.7
"597","50 ST","126","1","20:0",1290.725,601.3
"598","50 ST","126","1","4:8",81.05,280.825
"599","50 ST","126","1","8:12",526.775,2339.575
"600","50 ST","A25","ACE","0:4",452.325,161.275
"601","50 ST","A25","ACE","12:16",952.825,627.775
"602","50 ST","A25","ACE","16:20",1884.85,1014.925
"603","50 ST","A25","ACE","20:0",1140.825,643.2
"604","50 ST","A25","ACE","4:8",109.4,153
"605","50 ST","A25","ACE","8:12",758.325,974.475
"606","50 ST","B14","D","0:4",13,23.7
"607","50 ST","B14","D","12:16",142.225,117.175
"608","50 ST","B14","D","16:20",225.325,207.425
"609","50 ST","B14","D","20:0",76.15,103.85
"610","50 ST","B14","D","4:8",47.95,26.35
"611","50 ST","B14","D","8:12",205.925,206.875
"612","51 ST","630","6EM","0:4",230.875,108.25
"613","51 ST","630","6EM","12:16",1011.175,970.95
"614","51 ST","630","6EM","16:20",2337.45,1091.275
"615","51 ST","630","6EM","20:0",948.275,455.925
"616","51 ST","630","6EM","4:8",51.875,302.025
"617","51 ST","630","6EM","8:12",534.1,2182.45
"618","52 ST-LINCOLN","713","7","0:4",121.45,379.925
"619","52 ST-LINCOLN","713","7","12:16",293.65,262.075
"620","52 ST-LINCOLN","713","7","16:20",265.15,589.525
"621","52 ST-LINCOLN","713","7","4:8",302.3,56.6
"622","52 ST-LINCOLN","713","7","8:12",527.675,133.4
"623","53 ST","R40","NR","0:4",33.05,78.525
"624","53 ST","R40","NR","12:16",316.05,126.775
"625","53 ST","R40","NR","16:20",410.675,257.85
"626","53 ST","R40","NR","20:0",151.15,146.95
"627","53 ST","R40","NR","4:8",158.55,36.775
"628","53 ST","R40","NR","8:12",598.075,134.725
"629","55 ST","B15","D","0:4",9.8,11.65
"630","55 ST","B15","D","12:16",95.5,47.8
"631","55 ST","B15","D","16:20",130.2,81.9
"632","55 ST","B15","D","20:0",46.775,42.075
"633","55 ST","B15","D","4:8",31.675,7.2
"634","55 ST","B15","D","8:12",137.2,72.5
"635","57 ST","B10","F","0:4",672.625,193.175
"636","57 ST","B10","F","12:16",824.375,651.1
"637","57 ST","B10","F","16:20",1775.225,455.35
"638","57 ST","B10","F","4:8",60.125,454.575
"639","57 ST","B10","F","8:12",289.975,1338.95
"640","57 ST-7 AVE","R14","NQR","0:4",419.05,100.25
"641","57 ST-7 AVE","R14","NQR","12:16",1149.325,749.075
"642","57 ST-7 AVE","R14","NQR","16:20",2773.85,838.45
"643","57 ST-7 AVE","R14","NQR","20:0",1222.975,405.675
"644","57 ST-7 AVE","R14","NQR","4:8",84.825,226.575
"645","57 ST-7 AVE","R14","NQR","8:12",699.575,1542.725
"646","59 ST","629","456FNR","0:4",42.85,132.65
"647","59 ST","629","456FNR","12:16",483.05,255.425
"648","59 ST","629","456FNR","16:20",721.45,534.4
"649","59 ST","629","456FNR","20:0",246.475,331.175
"650","59 ST","629","456FNR","4:8",289.1,62.425
"651","59 ST","629","456FNR","8:12",1007.475,253.8
"652","59 ST","R41","NR","0:4",455.475,307.775
"653","59 ST","R41","NR","12:16",2660.025,2916.55
"654","59 ST","R41","NR","16:20",5905.65,3353
"655","59 ST","R41","NR","20:0",2328.175,1204.325
"656","59 ST","R41","NR","4:8",450.175,671.875
"657","59 ST","R41","NR","8:12",2157.05,4723.35
"658","59 ST-COLUMBUS","125","1ABCD","0:4",903.15,275.625
"659","59 ST-COLUMBUS","125","1ABCD","12:16",2894.15,2556.075
"660","59 ST-COLUMBUS","125","1ABCD","16:20",6463.85,2737.125
"661","59 ST-COLUMBUS","125","1ABCD","20:0",3022.825,1245.45
"662","59 ST-COLUMBUS","125","1ABCD","4:8",241.4,601.225
"663","59 ST-COLUMBUS","125","1ABCD","8:12",1823.4,3858.125
"664","6 AVE","L02","123FLM","0:4",58.175,23.725
"665","6 AVE","L02","123FLM","12:16",221.65,122.875
"666","6 AVE","L02","123FLM","16:20",489.15,137.55
"667","6 AVE","L02","123FLM","20:0",312.55,63.65
"668","6 AVE","L02","123FLM","4:8",35.625,30.3
"669","6 AVE","L02","123FLM","8:12",186.375,169.7
"670","61 ST/WOODSIDE","712","7","0:4",292.2,793.175
"671","61 ST/WOODSIDE","712","7","12:16",659.35,752.95
"672","61 ST/WOODSIDE","712","7","16:20",658.15,1548.325
"673","61 ST/WOODSIDE","712","7","4:8",847.725,218.3
"674","61 ST/WOODSIDE","712","7","8:12",1175.75,396.825
"675","63 DR-REGO PARK","G10","EMR","0:4",44.8,69.4
"676","63 DR-REGO PARK","G10","EMR","12:16",729.1,353.675
"677","63 DR-REGO PARK","G10","EMR","16:20",893.55,598.275
"678","63 DR-REGO PARK","G10","EMR","20:0",393.075,302.725
"679","63 DR-REGO PARK","G10","EMR","4:8",249.725,51.45
"680","63 DR-REGO PARK","G10","EMR","8:12",1391.975,292.75
"681","65 ST","G15","EMR","0:4",48.675,148.025
"682","65 ST","G15","EMR","12:16",171.875,128.9
"683","65 ST","G15","EMR","16:20",151.05,253.55
"684","65 ST","G15","EMR","4:8",190.325,39.1
"685","65 ST","G15","EMR","8:12",274.225,61
"686","66 ST-LINCOLN","124","1","0:4",956.775,436.8
"687","66 ST-LINCOLN","124","1","12:16",1407.225,1062.75
"688","66 ST-LINCOLN","124","1","16:20",2055.05,1494.975
"689","66 ST-LINCOLN","124","1","4:8",185.925,549.225
"690","66 ST-LINCOLN","124","1","8:12",841.45,1457.8
"691","67 AVE","G09","EMR","0:4",28.125,55.55
"692","67 AVE","G09","EMR","12:16",359.2,136.9
"693","67 AVE","G09","EMR","16:20",371,412.65
"694","67 AVE","G09","EMR","20:0",134.975,243.5
"695","67 AVE","G09","EMR","4:8",152.525,30.6
"696","67 AVE","G09","EMR","8:12",997.95,171.95
"697","68ST-HUNTER COL","628","6","0:4",638.25,314.775
"698","68ST-HUNTER COL","628","6","12:16",1807.925,830.725
"699","68ST-HUNTER COL","628","6","16:20",2551.075,700.35
"700","68ST-HUNTER COL","628","6","4:8",257.875,785.5
"701","68ST-HUNTER COL","628","6","8:12",1191.05,1600.075
"702","69 ST-FISK AVE","711","7","0:4",99.975,251.1
"703","69 ST-FISK AVE","711","7","12:16",226.475,232.6
"704","69 ST-FISK AVE","711","7","16:20",214.15,378.6
"705","69 ST-FISK AVE","711","7","4:8",232.05,81.225
"706","69 ST-FISK AVE","711","7","8:12",331.575,143.3
"707","7 AV-PARK SLOPE","F24","FG","0:4",258.075,129.2
"708","7 AV-PARK SLOPE","F24","FG","12:16",558.075,125.9
"709","7 AV-PARK SLOPE","F24","FG","16:20",619.175,216.1
"710","7 AV-PARK SLOPE","F24","FG","4:8",260.75,27.175
"711","7 AV-PARK SLOPE","F24","FG","8:12",868.25,71
"712","7 AVE","D25","BQ","0:4",215.05,341.775
"713","7 AVE","D25","BQ","12:16",376.825,342.65
"714","7 AVE","D25","BQ","16:20",430.25,831.025
"715","7 AVE","D25","BQ","4:8",199.325,95.175
"716","7 AVE","D25","BQ","8:12",788.8,236.5
"717","7 AVE-53 ST","D14","BDE","0:4",603.55,332.1
"718","7 AVE-53 ST","D14","BDE","12:16",796.5,785.5
"719","7 AVE-53 ST","D14","BDE","16:20",1843.475,798.1
"720","7 AVE-53 ST","D14","BDE","4:8",101.225,577.175
"721","7 AVE-53 ST","D14","BDE","8:12",439.925,1793.5
"722","71 ST","B17","D","0:4",10.95,41.3
"723","71 ST","B17","D","12:16",177.675,62.2
"724","71 ST","B17","D","16:20",147.575,202.275
"725","71 ST","B17","D","20:0",65.775,118.55
"726","71 ST","B17","D","4:8",134.825,9.725
"727","71 ST","B17","D","8:12",528.875,46.125
"728","72 ST","123","123","0:4",1277.95,954
"729","72 ST","123","123","12:16",1933.45,1847.825
"730","72 ST","123","123","16:20",2625.675,2491.5
"731","72 ST","123","123","4:8",487.25,602.875
"732","72 ST","123","123","8:12",1986.3,1601.475
"733","72 ST","A22","ABC","0:4",108.85,69.525
"734","72 ST","A22","ABC","12:16",468.9,411.35
"735","72 ST","A22","ABC","16:20",833.8,537.875
"736","72 ST","A22","ABC","20:0",286.275,283.775
"737","72 ST","A22","ABC","4:8",20.4,41.55
"738","72 ST","A22","ABC","8:12",438.35,465.225
"739","74 ST-BROADWAY","710","7EFMR","0:4",28,57.425
"740","74 ST-BROADWAY","710","7EFMR","12:16",160.475,176.075
"741","74 ST-BROADWAY","710","7EFMR","16:20",218.925,321.775
"742","74 ST-BROADWAY","710","7EFMR","20:0",137.625,161.425
"743","74 ST-BROADWAY","710","7EFMR","4:8",39.1,24.525
"744","74 ST-BROADWAY","710","7EFMR","8:12",138.95,101.475
"745","75 AVE","F07","EF","0:4",10.425,4.7
"746","75 AVE","F07","EF","12:16",144.775,24.375
"747","75 AVE","F07","EF","16:20",157.625,29.4
"748","75 AVE","F07","EF","20:0",75.9,19.1
"749","75 AVE","F07","EF","4:8",54.55,4.675
"750","75 AVE","F07","EF","8:12",381,23.125
"751","77 ST","627","6","0:4",928.175,748.85
"752","77 ST","627","6","12:16",2002.95,1604.775
"753","77 ST","627","6","16:20",2633.55,2073.725
"754","77 ST","627","6","4:8",481.175,924.275
"755","77 ST","627","6","8:12",1947.575,2137.4
"756","77 ST","R43","R","0:4",15.35,29.4
"757","77 ST","R43","R","12:16",218.575,71.275
"758","77 ST","R43","R","16:20",222,190.15
"759","77 ST","R43","R","20:0",100.875,107.3
"760","77 ST","R43","R","4:8",122.25,10.175
"761","77 ST","R43","R","8:12",547.125,58.275
"762","79 ST","122","1","0:4",548.35,254.325
"763","79 ST","122","1","12:16",912.975,481.625
"764","79 ST","122","1","16:20",1283.8,557.3
"765","79 ST","122","1","4:8",185.275,152.4
"766","79 ST","122","1","8:12",883.625,450.925
"767","79 ST","B18","D","0:4",11.375,31.775
"768","79 ST","B18","D","12:16",293.075,68.25
"769","79 ST","B18","D","16:20",224.2,190.975
"770","79 ST","B18","D","20:0",76.325,114.075
"771","79 ST","B18","D","4:8",169.5,8.75
"772","79 ST","B18","D","8:12",667.425,99.025
"773","8 AVE","L01","ACEL","0:4",1144.975,526.4
"774","8 AVE","L01","ACEL","12:16",1224.525,965.75
"775","8 AVE","L01","ACEL","16:20",1964.9,1031.675
"776","8 AVE","L01","ACEL","4:8",211.575,322.375
"777","8 AVE","L01","ACEL","8:12",701.425,938.975
"778","8 AVE","N02","N","0:4",224.45,410.675
"779","8 AVE","N02","N","12:16",693.25,668.55
"780","8 AVE","N02","N","16:20",715.975,876.5
"781","8 AVE","N02","N","4:8",316.15,125.55
"782","8 AVE","N02","N","8:12",687.675,672.875
"783","8 ST-B'WAY NYU","R21","NQR","0:4",228.075,88.7
"784","8 ST-B'WAY NYU","R21","NQR","12:16",598.95,553.45
"785","8 ST-B'WAY NYU","R21","NQR","16:20",1300.3,874.075
"786","8 ST-B'WAY NYU","R21","NQR","20:0",827.35,473.95
"787","8 ST-B'WAY NYU","R21","NQR","4:8",59.1,62.225
"788","8 ST-B'WAY NYU","R21","NQR","8:12",552.675,573.05
"789","81 ST-MUSEUM","A21","ABC","0:4",246,204.875
"790","81 ST-MUSEUM","A21","ABC","12:16",1045.375,1050.5
"791","81 ST-MUSEUM","A21","ABC","16:20",1575.925,598.975
"792","81 ST-MUSEUM","A21","ABC","4:8",113.625,173.05
"793","81 ST-MUSEUM","A21","ABC","8:12",546.775,951.6
"794","82 ST-JACKSON H","709","7","0:4",72.175,282.125
"795","82 ST-JACKSON H","709","7","12:16",766.925,799.725
"796","82 ST-JACKSON H","709","7","16:20",947.175,1441.725
"797","82 ST-JACKSON H","709","7","20:0",413.475,722.85
"798","82 ST-JACKSON H","709","7","4:8",319.075,87.1
"799","82 ST-JACKSON H","709","7","8:12",968.125,602
"800","86 ST","121","1","0:4",599.45,634.975
"801","86 ST","121","1","12:16",1028.6,998.425
"802","86 ST","121","1","16:20",1337.025,1375.925
"803","86 ST","121","1","20:0",238.25,85.5
"804","86 ST","121","1","4:8",304.6,337.75
"805","86 ST","121","1","8:12",1144.95,972.2
"806","86 ST","626","456","0:4",399.3,342.275
"807","86 ST","626","456","12:16",2641.8,2873.95
"808","86 ST","626","456","16:20",4840.7,4096.875
"809","86 ST","626","456","20:0",2122.225,2067.825
"810","86 ST","626","456","4:8",290.25,481.425
"811","86 ST","626","456","8:12",3902.35,2846.225
"812","86 ST","A20","ABC","0:4",46.65,29.875
"813","86 ST","A20","ABC","12:16",484.95,279.275
"814","86 ST","A20","ABC","16:20",871.775,335.25
"815","86 ST","A20","ABC","20:0",300.225,181.225
"816","86 ST","A20","ABC","4:8",39.825,33.975
"817","86 ST","A20","ABC","8:12",695.625,294.7
"818","86 ST","N10","N","0:4",42.05,35.225
"819","86 ST","N10","N","12:16",119.6,39.7
"820","86 ST","N10","N","16:20",95.75,68.225
"821","86 ST","N10","N","4:8",137.2,14.375
"822","86 ST","N10","N","8:12",185.275,35.075
"823","86 ST","R44","R","0:4",40.1,60.225
"824","86 ST","R44","R","12:16",502.075,293.7
"825","86 ST","R44","R","16:20",631.425,628.2
"826","86 ST","R44","R","20:0",297.225,285.125
"827","86 ST","R44","R","4:8",283.85,59.55
"828","86 ST","R44","R","8:12",878.35,230.125
"829","9 AVE","B12","D","0:4",77.575,344.025
"830","9 AVE","B12","D","12:16",239.3,229.575
"831","9 AVE","B12","D","16:20",215.65,516.125
"832","9 AVE","B12","D","4:8",322.2,66.8
"833","9 AVE","B12","D","8:12",473.6,163.175
"834","9 ST","R33","DFGNR","0:4",59.725,63.375
"835","9 ST","R33","DFGNR","12:16",339.475,258.675
"836","9 ST","R33","DFGNR","16:20",545.025,482.1
"837","9 ST","R33","DFGNR","20:0",252.375,293.675
"838","9 ST","R33","DFGNR","4:8",72.925,78.725
"839","9 ST","R33","DFGNR","8:12",677.025,319.95
"840","90 ST-ELMHURST","708","7","0:4",60.875,193.525
"841","90 ST-ELMHURST","708","7","12:16",639.675,293.4
"842","90 ST-ELMHURST","708","7","16:20",756.175,637.175
"843","90 ST-ELMHURST","708","7","20:0",315.925,409.4
"844","90 ST-ELMHURST","708","7","4:8",567.175,52.4
"845","90 ST-ELMHURST","708","7","8:12",1364.95,205.85
"846","96 ST","120","123","0:4",1067.65,1429.15
"847","96 ST","120","123","12:16",1913.7,1735.85
"848","96 ST","120","123","16:20",2237.05,2720.7
"849","96 ST","120","123","4:8",707.85,649.25
"850","96 ST","120","123","8:12",2484.6,1518.7
"851","96 ST","625","6","0:4",481.525,193.7
"852","96 ST","625","6","12:16",1379.55,285
"853","96 ST","625","6","16:20",1672.175,306.45
"854","96 ST","625","6","4:8",448.825,223.6
"855","96 ST","625","6","8:12",1495.4,375.975
"856","96 ST","A19","ABC","0:4",43.25,58.8
"857","96 ST","A19","ABC","12:16",409.425,341
"858","96 ST","A19","ABC","16:20",763.525,530.275
"859","96 ST","A19","ABC","20:0",254,283.575
"860","96 ST","A19","ABC","4:8",40.675,59.95
"861","96 ST","A19","ABC","8:12",605.15,427.4
"862","ALABAMA AVE","J24","JZ","0:4",70.475,78.1
"863","ALABAMA AVE","J24","JZ","12:16",115.25,106.65
"864","ALABAMA AVE","J24","JZ","16:20",139.925,135.65
"865","ALABAMA AVE","J24","JZ","4:8",96.9,89.45
"866","ALABAMA AVE","J24","JZ","8:12",113.425,109.2
"867","ALLERTON AVE","210","25","0:4",118.9,93.725
"868","ALLERTON AVE","210","25","12:16",270.725,117.75
"869","ALLERTON AVE","210","25","16:20",223.825,162.125
"870","ALLERTON AVE","210","25","4:8",329.2,36.05
"871","ALLERTON AVE","210","25","8:12",308.725,81.575
"872","AQUEDUCT TRACK","H01","A","0:4",38.8333333333333,3.36111111111111
"873","AQUEDUCT TRACK","H01","A","12:16",66.5555555555556,13.9444444444444
"874","AQUEDUCT TRACK","H01","A","16:20",156.527777777778,13.1944444444444
"875","AQUEDUCT TRACK","H01","A","20:0",90.9166666666667,7.13888888888889
"876","AQUEDUCT TRACK","H01","A","4:8",35.75,1.27777777777778
"877","AQUEDUCT TRACK","H01","A","8:12",13.3333333333333,6.58333333333333
"878","AQUEDUCT-N CNDT","H02","A","0:4",33.575,71.25
"879","AQUEDUCT-N CNDT","H02","A","12:16",32.725,127.325
"880","AQUEDUCT-N CNDT","H02","A","16:20",38.15,160.2
"881","AQUEDUCT-N CNDT","H02","A","4:8",92.65,17.425
"882","AQUEDUCT-N CNDT","H02","A","8:12",49.15,70.925
"883","ASTOR PLACE","636","6","0:4",856.95,486.1
"884","ASTOR PLACE","636","6","12:16",766.3,891.325
"885","ASTOR PLACE","636","6","16:20",1145.275,1465.675
"886","ASTOR PLACE","636","6","4:8",185.075,220.3
"887","ASTOR PLACE","636","6","8:12",769.75,834
"888","ATLANTIC AVE","L24","L","0:4",10.975,6.975
"889","ATLANTIC AVE","L24","L","12:16",67.45,21.425
"890","ATLANTIC AVE","L24","L","16:20",107.95,37.1
"891","ATLANTIC AVE","L24","L","20:0",40.3,22.825
"892","ATLANTIC AVE","L24","L","4:8",41.55,12.075
"893","ATLANTIC AVE","L24","L","8:12",139.45,38.375
"894","AVE H","D32","Q","0:4",8.3,37.05
"895","AVE H","D32","Q","12:16",111.1,63
"896","AVE H","D32","Q","16:20",122.675,166.3
"897","AVE H","D32","Q","20:0",44.625,109.625
"898","AVE H","D32","Q","4:8",51.25,13.025
"899","AVE H","D32","Q","8:12",230.275,63.825
"900","AVE I","F31","F","0:4",31.65,39
"901","AVE I","F31","F","12:16",91.075,65.25
"902","AVE I","F31","F","16:20",98.2,115.5
"903","AVE I","F31","F","4:8",43.025,41.05
"904","AVE I","F31","F","8:12",82.45,79.875
"905","AVE J","D33","Q","0:4",27.3,44.2
"906","AVE J","D33","Q","12:16",304.25,110.925
"907","AVE J","D33","Q","16:20",331.1,219.1
"908","AVE J","D33","Q","20:0",114.725,116.175
"909","AVE J","D33","Q","4:8",94.975,26
"910","AVE J","D33","Q","8:12",454.875,154.5
"911","AVE M","D34","Q","0:4",17.4,13.675
"912","AVE M","D34","Q","12:16",347.9,82.075
"913","AVE M","D34","Q","16:20",326.85,125.175
"914","AVE M","D34","Q","20:0",95.1,62.15
"915","AVE M","D34","Q","4:8",86.725,13.05
"916","AVE M","D34","Q","8:12",403.025,209.4
"917","AVE N","F33","F","0:4",47.625,101.025
"918","AVE N","F33","F","12:16",148.375,97.55
"919","AVE N","F33","F","16:20",134.725,194.875
"920","AVE N","F33","F","4:8",175.45,39
"921","AVE N","F33","F","8:12",269.525,111.5
"922","AVE P","F34","F","0:4",7.65,18.325
"923","AVE P","F34","F","12:16",94.85,50.775
"924","AVE P","F34","F","16:20",112.35,124.25
"925","AVE P","F34","F","20:0",45.725,80.975
"926","AVE P","F34","F","4:8",66.325,10.675
"927","AVE P","F34","F","8:12",284.725,76.275
"928","AVE U","D37","Q","0:4",93.25,92.075
"929","AVE U","D37","Q","12:16",299.025,126.575
"930","AVE U","D37","Q","16:20",277.775,215.25
"931","AVE U","D37","Q","4:8",342.625,27.95
"932","AVE U","D37","Q","8:12",514.875,90.175
"933","AVE U","F36","F","0:4",33.825,31.925
"934","AVE U","F36","F","12:16",84.3,42.2
"935","AVE U","F36","F","16:20",106,63.825
"936","AVE U","F36","F","4:8",127.875,17.325
"937","AVE U","F36","F","8:12",138.275,45.475
"938","AVE U","N09","N","0:4",51.525,138.1
"939","AVE U","N09","N","12:16",155,128.875
"940","AVE U","N09","N","16:20",146.35,288.95
"941","AVE U","N09","N","4:8",222.5,40.925
"942","AVE U","N09","N","8:12",312.1,103.775
"943","AVE X","F38","F","0:4",11.675,19.55
"944","AVE X","F38","F","12:16",114.025,57.5
"945","AVE X","F38","F","16:20",131.525,138.225
"946","AVE X","F38","F","20:0",52.225,87.875
"947","AVE X","F38","F","4:8",86.525,16.6
"948","AVE X","F38","F","8:12",233.5,75.25
"949","BARCLAYS CENTER","235","2345BDNQR","0:4",515.8,255.525
"950","BARCLAYS CENTER","235","2345BDNQR","12:16",1592.75,1712.625
"951","BARCLAYS CENTER","235","2345BDNQR","16:20",2829,3726.475
"952","BARCLAYS CENTER","235","2345BDNQR","20:0",2032.075,1798
"953","BARCLAYS CENTER","235","2345BDNQR","4:8",337.05,240.1
"954","BARCLAYS CENTER","235","2345BDNQR","8:12",2548.6,1690.875
"955","BAY 50 ST","B23","D","0:4",31.6,25.5
"956","BAY 50 ST","B23","D","12:16",115.85,34.3
"957","BAY 50 ST","B23","D","16:20",89.1,46.2
"958","BAY 50 ST","B23","D","4:8",170.35,25.9
"959","BAY 50 ST","B23","D","8:12",177.375,65.5
"960","BAY PARKWAY","B21","D","0:4",111,277.5
"961","BAY PARKWAY","B21","D","12:16",311.1,315.325
"962","BAY PARKWAY","B21","D","16:20",272.375,635.925
"963","BAY PARKWAY","B21","D","4:8",425.05,75.8
"964","BAY PARKWAY","B21","D","8:12",507.475,198.8
"965","BAY RIDGE AVE","R42","R","0:4",24.075,42.925
"966","BAY RIDGE AVE","R42","R","12:16",374.7,120.3
"967","BAY RIDGE AVE","R42","R","16:20",363.725,319.85
"968","BAY RIDGE AVE","R42","R","20:0",140.4,194.525
"969","BAY RIDGE AVE","R42","R","4:8",199.9,19.5
"970","BAY RIDGE AVE","R42","R","8:12",725.375,96.675
"971","BAY RIDGE-95 ST","R45","R","0:4",17.725,49.4
"972","BAY RIDGE-95 ST","R45","R","12:16",233.475,127.95
"973","BAY RIDGE-95 ST","R45","R","16:20",242.575,319.175
"974","BAY RIDGE-95 ST","R45","R","20:0",110.725,200.525
