"","station","station_id","entry_exits_period","hourly_entries","hourly_exits"
"541","45 ST","R39","0:4",196.5,932.5
"542","45 ST","R39","12:16",2867,1646.5
"543","45 ST","R39","16:20",3746,3912
"544","45 ST","R39","20:0",1409.75,2262.5
"545","45 ST","R39","4:8",1736.5,375.25
"546","45 ST","R39","8:12",5973.5,1649.25
"547","46 ST","G18","0:4",1583,3584.25
"548","46 ST","G18","12:16",4471.25,3207.25
"549","46 ST","G18","16:20",3737.5,6540
"550","46 ST","G18","4:8",3579.75,1418
"551","46 ST","G18","8:12",7149.75,2232.75
"552","46 ST-BLISS ST","714","0:4",788.75,2120.5
"553","46 ST-BLISS ST","714","12:16",6044.5,3755.75
"554","46 ST-BLISS ST","714","16:20",7147.5,8850.5
"555","46 ST-BLISS ST","714","20:0",2996,6135.25
"556","46 ST-BLISS ST","714","4:8",2871,936.25
"557","46 ST-BLISS ST","714","8:12",11651,2792.25
"558","47-50 ST-ROCK","D15","0:4",7498.25,1570
"559","47-50 ST-ROCK","D15","12:16",22436.75,28748.5
"560","47-50 ST-ROCK","D15","16:20",85265.5,28841.5
"561","47-50 ST-ROCK","D15","20:0",32084.5,9333.5
"562","47-50 ST-ROCK","D15","4:8",1051.25,7426.25
"563","47-50 ST-ROCK","D15","8:12",5528,78243.25
"564","49 ST-7 AVE","R15","0:4",3930.5,1206.75
"565","49 ST-7 AVE","R15","12:16",10050.75,10026.75
"566","49 ST-7 AVE","R15","16:20",24921.5,12915
"567","49 ST-7 AVE","R15","20:0",14217.25,6324
"568","49 ST-7 AVE","R15","4:8",762.25,2979
"569","49 ST-7 AVE","R15","8:12",5507.25,19454.75
"570","5 AVE-53 ST","F12","0:4",3439.25,952
"571","5 AVE-53 ST","F12","12:16",4922,24130.25
"572","5 AVE-53 ST","F12","16:20",20513.75,12672.5
"573","5 AVE-53 ST","F12","20:0",31766,6437.25
"574","5 AVE-53 ST","F12","4:8",254.5,284.75
"575","5 AVE-53 ST","F12","8:12",761,22454.75
"576","5 AVE-59 ST","R13","0:4",3680.5,1121.75
"577","5 AVE-59 ST","R13","12:16",4581,11627.5
"578","5 AVE-59 ST","R13","16:20",15558.25,8913
"579","5 AVE-59 ST","R13","20:0",20510,4327.5
"580","5 AVE-59 ST","R13","4:8",497.5,938
"581","5 AVE-59 ST","R13","8:12",872.25,6918.25
"582","5 AVE-BRYANT PK","D16","0:4",1150.75,428.75
"583","5 AVE-BRYANT PK","D16","12:16",4526.75,5678.25
"584","5 AVE-BRYANT PK","D16","16:20",15001.5,5358.75
"585","5 AVE-BRYANT PK","D16","20:0",6313.25,2007.5
"586","5 AVE-BRYANT PK","D16","4:8",197.5,1379.5
"587","5 AVE-BRYANT PK","D16","8:12",1250.75,12455
"588","50 ST","126","0:4",3331.75,1218
"589","50 ST","126","12:16",8756.75,10181.25
"590","50 ST","126","16:20",26974,13377
"591","50 ST","126","20:0",12907.25,6013
"592","50 ST","126","4:8",810.5,2808.25
"593","50 ST","126","8:12",5267.75,23395.75
"594","50 ST","A25","0:4",4523.25,1612.75
"595","50 ST","A25","12:16",9528.25,6277.75
"596","50 ST","A25","16:20",18848.5,10149.25
"597","50 ST","A25","20:0",11408.25,6432
"598","50 ST","A25","4:8",1094,1530
"599","50 ST","A25","8:12",7583.25,9744.75
"600","50 ST","B14","0:4",130,237
"601","50 ST","B14","12:16",1422.25,1171.75
"602","50 ST","B14","16:20",2253.25,2074.25
"603","50 ST","B14","20:0",761.5,1038.5
"604","50 ST","B14","4:8",479.5,263.5
"605","50 ST","B14","8:12",2059.25,2068.75
"606","51 ST","630","0:4",2308.75,1082.5
"607","51 ST","630","12:16",10111.75,9709.5
"608","51 ST","630","16:20",23374.5,10912.75
"609","51 ST","630","20:0",9482.75,4559.25
"610","51 ST","630","4:8",518.75,3020.25
"611","51 ST","630","8:12",5341,21824.5
"612","52 ST-LINCOLN","713","0:4",1214.5,3799.25
"613","52 ST-LINCOLN","713","12:16",2936.5,2620.75
"614","52 ST-LINCOLN","713","16:20",2651.5,5895.25
"615","52 ST-LINCOLN","713","4:8",3023,566
"616","52 ST-LINCOLN","713","8:12",5276.75,1334
"617","53 ST","R40","0:4",330.5,785.25
"618","53 ST","R40","12:16",3160.5,1267.75
"619","53 ST","R40","16:20",4106.75,2578.5
"620","53 ST","R40","20:0",1511.5,1469.5
"621","53 ST","R40","4:8",1585.5,367.75
"622","53 ST","R40","8:12",5980.75,1347.25
"623","55 ST","B15","0:4",98,116.5
"624","55 ST","B15","12:16",955,478
"625","55 ST","B15","16:20",1302,819
"626","55 ST","B15","20:0",467.75,420.75
"627","55 ST","B15","4:8",316.75,72
"628","55 ST","B15","8:12",1372,725
"629","57 ST","B10","0:4",6726.25,1931.75
"630","57 ST","B10","12:16",8243.75,6511
"631","57 ST","B10","16:20",17752.25,4553.5
"632","57 ST","B10","4:8",601.25,4545.75
"633","57 ST","B10","8:12",2899.75,13389.5
"634","57 ST-7 AVE","R14","0:4",4190.5,1002.5
"635","57 ST-7 AVE","R14","12:16",11493.25,7490.75
"636","57 ST-7 AVE","R14","16:20",27738.5,8384.5
"637","57 ST-7 AVE","R14","20:0",12229.75,4056.75
"638","57 ST-7 AVE","R14","4:8",848.25,2265.75
"639","57 ST-7 AVE","R14","8:12",6995.75,15427.25
"640","59 ST","629","0:4",428.5,1326.5
"641","59 ST","629","12:16",4830.5,2554.25
"642","59 ST","629","16:20",7214.5,5344
"643","59 ST","629","20:0",2464.75,3311.75
"644","59 ST","629","4:8",2891,624.25
"645","59 ST","629","8:12",10074.75,2538
"646","59 ST","R41","0:4",4554.75,3077.75
"647","59 ST","R41","12:16",26600.25,29165.5
"648","59 ST","R41","16:20",59056.5,33530
"649","59 ST","R41","20:0",23281.75,12043.25
"650","59 ST","R41","4:8",4501.75,6718.75
"651","59 ST","R41","8:12",21570.5,47233.5
"652","59 ST-COLUMBUS","125","0:4",9031.5,2756.25
"653","59 ST-COLUMBUS","125","12:16",28941.5,25560.75
"654","59 ST-COLUMBUS","125","16:20",64638.5,27371.25
"655","59 ST-COLUMBUS","125","20:0",30228.25,12454.5
"656","59 ST-COLUMBUS","125","4:8",2414,6012.25
"657","59 ST-COLUMBUS","125","8:12",18234,38581.25
"658","6 AVE","L02","0:4",581.75,237.25
"659","6 AVE","L02","12:16",2216.5,1228.75
"660","6 AVE","L02","16:20",4891.5,1375.5
"661","6 AVE","L02","20:0",3125.5,636.5
"662","6 AVE","L02","4:8",356.25,303
"663","6 AVE","L02","8:12",1863.75,1697
"664","61 ST/WOODSIDE","712","0:4",2922,7931.75
"665","61 ST/WOODSIDE","712","12:16",6593.5,7529.5
"666","61 ST/WOODSIDE","712","16:20",6581.5,15483.25
"667","61 ST/WOODSIDE","712","4:8",8477.25,2183
"668","61 ST/WOODSIDE","712","8:12",11757.5,3968.25
"669","63 DR-REGO PARK","G10","0:4",448,694
"670","63 DR-REGO PARK","G10","12:16",7291,3536.75
"671","63 DR-REGO PARK","G10","16:20",8935.5,5982.75
"672","63 DR-REGO PARK","G10","20:0",3930.75,3027.25
"673","63 DR-REGO PARK","G10","4:8",2497.25,514.5
"674","63 DR-REGO PARK","G10","8:12",13919.75,2927.5
"675","65 ST","G15","0:4",486.75,1480.25
"676","65 ST","G15","12:16",1718.75,1289
"677","65 ST","G15","16:20",1510.5,2535.5
"678","65 ST","G15","4:8",1903.25,391
"679","65 ST","G15","8:12",2742.25,610
"680","66 ST-LINCOLN","124","0:4",9567.75,4368
"681","66 ST-LINCOLN","124","12:16",14072.25,10627.5
"682","66 ST-LINCOLN","124","16:20",20550.5,14949.75
"683","66 ST-LINCOLN","124","4:8",1859.25,5492.25
"684","66 ST-LINCOLN","124","8:12",8414.5,14578
"685","67 AVE","G09","0:4",281.25,555.5
"686","67 AVE","G09","12:16",3592,1369
"687","67 AVE","G09","16:20",3710,4126.5
"688","67 AVE","G09","20:0",1349.75,2435
"689","67 AVE","G09","4:8",1525.25,306
"690","67 AVE","G09","8:12",9979.5,1719.5
"691","68ST-HUNTER COL","628","0:4",6382.5,3147.75
"692","68ST-HUNTER COL","628","12:16",18079.25,8307.25
"693","68ST-HUNTER COL","628","16:20",25510.75,7003.5
"694","68ST-HUNTER COL","628","4:8",2578.75,7855
"695","68ST-HUNTER COL","628","8:12",11910.5,16000.75
"696","69 ST-FISK AVE","711","0:4",999.75,2511
"697","69 ST-FISK AVE","711","12:16",2264.75,2326
"698","69 ST-FISK AVE","711","16:20",2141.5,3786
"699","69 ST-FISK AVE","711","4:8",2320.5,812.25
"700","69 ST-FISK AVE","711","8:12",3315.75,1433
"701","7 AV-PARK SLOPE","F24","0:4",2580.75,1292
"702","7 AV-PARK SLOPE","F24","12:16",5580.75,1259
"703","7 AV-PARK SLOPE","F24","16:20",6191.75,2161
"704","7 AV-PARK SLOPE","F24","4:8",2607.5,271.75
"705","7 AV-PARK SLOPE","F24","8:12",8682.5,710
"706","7 AVE","D25","0:4",2150.5,3417.75
"707","7 AVE","D25","12:16",3768.25,3426.5
"708","7 AVE","D25","16:20",4302.5,8310.25
"709","7 AVE","D25","4:8",1993.25,951.75
"710","7 AVE","D25","8:12",7888,2365
"711","7 AVE-53 ST","D14","0:4",6035.5,3321
"712","7 AVE-53 ST","D14","12:16",7965,7855
"713","7 AVE-53 ST","D14","16:20",18434.75,7981
"714","7 AVE-53 ST","D14","4:8",1012.25,5771.75
"715","7 AVE-53 ST","D14","8:12",4399.25,17935
"716","71 ST","B17","0:4",109.5,413
"717","71 ST","B17","12:16",1776.75,622
"718","71 ST","B17","16:20",1475.75,2022.75
"719","71 ST","B17","20:0",657.75,1185.5
"720","71 ST","B17","4:8",1348.25,97.25
"721","71 ST","B17","8:12",5288.75,461.25
"722","72 ST","123","0:4",12779.5,9540
"723","72 ST","123","12:16",19334.5,18478.25
"724","72 ST","123","16:20",26256.75,24915
"725","72 ST","123","4:8",4872.5,6028.75
"726","72 ST","123","8:12",19863,16014.75
"727","72 ST","A22","0:4",1088.5,695.25
"728","72 ST","A22","12:16",4689,4113.5
"729","72 ST","A22","16:20",8338,5378.75
"730","72 ST","A22","20:0",2862.75,2837.75
"731","72 ST","A22","4:8",204,415.5
"732","72 ST","A22","8:12",4383.5,4652.25
"733","74 ST-BROADWAY","710","0:4",280,574.25
"734","74 ST-BROADWAY","710","12:16",1604.75,1760.75
"735","74 ST-BROADWAY","710","16:20",2189.25,3217.75
"736","74 ST-BROADWAY","710","20:0",1376.25,1614.25
"737","74 ST-BROADWAY","710","4:8",391,245.25
"738","74 ST-BROADWAY","710","8:12",1389.5,1014.75
"739","75 AVE","F07","0:4",104.25,47
"740","75 AVE","F07","12:16",1447.75,243.75
"741","75 AVE","F07","16:20",1576.25,294
"742","75 AVE","F07","20:0",759,191
"743","75 AVE","F07","4:8",545.5,46.75
"744","75 AVE","F07","8:12",3810,231.25
"745","77 ST","627","0:4",9281.75,7488.5
"746","77 ST","627","12:16",20029.5,16047.75
"747","77 ST","627","16:20",26335.5,20737.25
"748","77 ST","627","4:8",4811.75,9242.75
"749","77 ST","627","8:12",19475.75,21374
"750","77 ST","R43","0:4",153.5,294
"751","77 ST","R43","12:16",2185.75,712.75
"752","77 ST","R43","16:20",2220,1901.5
"753","77 ST","R43","20:0",1008.75,1073
"754","77 ST","R43","4:8",1222.5,101.75
"755","77 ST","R43","8:12",5471.25,582.75
"756","79 ST","122","0:4",5483.5,2543.25
"757","79 ST","122","12:16",9129.75,4816.25
"758","79 ST","122","16:20",12838,5573
"759","79 ST","122","4:8",1852.75,1524
"760","79 ST","122","8:12",8836.25,4509.25
"761","79 ST","B18","0:4",113.75,317.75
"762","79 ST","B18","12:16",2930.75,682.5
"763","79 ST","B18","16:20",2242,1909.75
"764","79 ST","B18","20:0",763.25,1140.75
"765","79 ST","B18","4:8",1695,87.5
"766","79 ST","B18","8:12",6674.25,990.25
"767","8 AVE","L01","0:4",11449.75,5264
"768","8 AVE","L01","12:16",12245.25,9657.5
"769","8 AVE","L01","16:20",19649,10316.75
"770","8 AVE","L01","4:8",2115.75,3223.75
"771","8 AVE","L01","8:12",7014.25,9389.75
"772","8 AVE","N02","0:4",2244.5,4106.75
"773","8 AVE","N02","12:16",6932.5,6685.5
"774","8 AVE","N02","16:20",7159.75,8765
"775","8 AVE","N02","4:8",3161.5,1255.5
"776","8 AVE","N02","8:12",6876.75,6728.75
"777","8 ST-B'WAY NYU","R21","0:4",2280.75,887
"778","8 ST-B'WAY NYU","R21","12:16",5989.5,5534.5
"779","8 ST-B'WAY NYU","R21","16:20",13003,8740.75
"780","8 ST-B'WAY NYU","R21","20:0",8273.5,4739.5
"781","8 ST-B'WAY NYU","R21","4:8",591,622.25
"782","8 ST-B'WAY NYU","R21","8:12",5526.75,5730.5
"783","81 ST-MUSEUM","A21","0:4",2460,2048.75
"784","81 ST-MUSEUM","A21","12:16",10453.75,10505
"785","81 ST-MUSEUM","A21","16:20",15759.25,5989.75
"786","81 ST-MUSEUM","A21","4:8",1136.25,1730.5
"787","81 ST-MUSEUM","A21","8:12",5467.75,9516
"788","82 ST-JACKSON H","709","0:4",721.75,2821.25
"789","82 ST-JACKSON H","709","12:16",7669.25,7997.25
"790","82 ST-JACKSON H","709","16:20",9471.75,14417.25
"791","82 ST-JACKSON H","709","20:0",4134.75,7228.5
"792","82 ST-JACKSON H","709","4:8",3190.75,871
"793","82 ST-JACKSON H","709","8:12",9681.25,6020
"794","86 ST","121","0:4",5994.5,6349.75
"795","86 ST","121","12:16",10286,9984.25
"796","86 ST","121","16:20",13370.25,13759.25
"797","86 ST","121","20:0",238.25,85.5
"798","86 ST","121","4:8",3046,3377.5
"799","86 ST","121","8:12",11449.5,9722
"800","86 ST","626","0:4",3993,3422.75
"801","86 ST","626","12:16",26418,28739.5
"802","86 ST","626","16:20",48407,40968.75
"803","86 ST","626","20:0",21222.25,20678.25
"804","86 ST","626","4:8",2902.5,4814.25
"805","86 ST","626","8:12",39023.5,28462.25
"806","86 ST","A20","0:4",466.5,298.75
"807","86 ST","A20","12:16",4849.5,2792.75
"808","86 ST","A20","16:20",8717.75,3352.5
"809","86 ST","A20","20:0",3002.25,1812.25
"810","86 ST","A20","4:8",398.25,339.75
"811","86 ST","A20","8:12",6956.25,2947
"812","86 ST","N10","0:4",420.5,352.25
"813","86 ST","N10","12:16",1196,397
"814","86 ST","N10","16:20",957.5,682.25
"815","86 ST","N10","4:8",1372,143.75
"816","86 ST","N10","8:12",1852.75,350.75
"817","86 ST","R44","0:4",401,602.25
"818","86 ST","R44","12:16",5020.75,2937
"819","86 ST","R44","16:20",6314.25,6282
"820","86 ST","R44","20:0",2972.25,2851.25
"821","86 ST","R44","4:8",2838.5,595.5
"822","86 ST","R44","8:12",8783.5,2301.25
"823","9 AVE","B12","0:4",775.75,3440.25
"824","9 AVE","B12","12:16",2393,2295.75
"825","9 AVE","B12","16:20",2156.5,5161.25
"826","9 AVE","B12","4:8",3222,668
"827","9 AVE","B12","8:12",4736,1631.75
"828","9 ST","R33","0:4",597.25,633.75
"829","9 ST","R33","12:16",3394.75,2586.75
"830","9 ST","R33","16:20",5450.25,4821
"831","9 ST","R33","20:0",2523.75,2936.75
"832","9 ST","R33","4:8",729.25,787.25
"833","9 ST","R33","8:12",6770.25,3199.5
"834","90 ST-ELMHURST","708","0:4",608.75,1935.25
"835","90 ST-ELMHURST","708","12:16",6396.75,2934
"836","90 ST-ELMHURST","708","16:20",7561.75,6371.75
"837","90 ST-ELMHURST","708","20:0",3159.25,4094
"838","90 ST-ELMHURST","708","4:8",5671.75,524
"839","90 ST-ELMHURST","708","8:12",13649.5,2058.5
"840","96 ST","120","0:4",10676.5,14291.5
"841","96 ST","120","12:16",19137,17358.5
"842","96 ST","120","16:20",22370.5,27207
"843","96 ST","120","4:8",7078.5,6492.5
"844","96 ST","120","8:12",24846,15187
"845","96 ST","625","0:4",4815.25,1937
"846","96 ST","625","12:16",13795.5,2850
"847","96 ST","625","16:20",16721.75,3064.5
"848","96 ST","625","4:8",4488.25,2236
"849","96 ST","625","8:12",14954,3759.75
"850","96 ST","A19","0:4",432.5,588
"851","96 ST","A19","12:16",4094.25,3410
"852","96 ST","A19","16:20",7635.25,5302.75
"853","96 ST","A19","20:0",2540,2835.75
"854","96 ST","A19","4:8",406.75,599.5
"855","96 ST","A19","8:12",6051.5,4274
"856","ALABAMA AVE","J24","0:4",704.75,781
"857","ALABAMA AVE","J24","12:16",1152.5,1066.5
"858","ALABAMA AVE","J24","16:20",1399.25,1356.5
"859","ALABAMA AVE","J24","4:8",969,894.5
"860","ALABAMA AVE","J24","8:12",1134.25,1092
"861","ALLERTON AVE","210","0:4",1189,937.25
"862","ALLERTON AVE","210","12:16",2707.25,1177.5
"863","ALLERTON AVE","210","16:20",2238.25,1621.25
"864","ALLERTON AVE","210","4:8",3292,360.5
"865","ALLERTON AVE","210","8:12",3087.25,815.75
"866","AQUEDUCT TRACK","H01","0:4",349.5,30.25
"867","AQUEDUCT TRACK","H01","12:16",599,125.5
"868","AQUEDUCT TRACK","H01","16:20",1408.75,118.75
"869","AQUEDUCT TRACK","H01","20:0",818.25,64.25
"870","AQUEDUCT TRACK","H01","4:8",321.75,11.5
"871","AQUEDUCT TRACK","H01","8:12",120,59.25
"872","AQUEDUCT-N CNDT","H02","0:4",335.75,712.5
"873","AQUEDUCT-N CNDT","H02","12:16",327.25,1273.25
"874","AQUEDUCT-N CNDT","H02","16:20",381.5,1602
"875","AQUEDUCT-N CNDT","H02","4:8",926.5,174.25
"876","AQUEDUCT-N CNDT","H02","8:12",491.5,709.25
"877","ASTOR PLACE","636","0:4",8569.5,4861
"878","ASTOR PLACE","636","12:16",7663,8913.25
"879","ASTOR PLACE","636","16:20",11452.75,14656.75
"880","ASTOR PLACE","636","4:8",1850.75,2203
"881","ASTOR PLACE","636","8:12",7697.5,8340
"882","ATLANTIC AVE","L24","0:4",109.75,69.75
"883","ATLANTIC AVE","L24","12:16",674.5,214.25
"884","ATLANTIC AVE","L24","16:20",1079.5,371
"885","ATLANTIC AVE","L24","20:0",403,228.25
"886","ATLANTIC AVE","L24","4:8",415.5,120.75
"887","ATLANTIC AVE","L24","8:12",1394.5,383.75
"888","AVE H","D32","0:4",83,370.5
"889","AVE H","D32","12:16",1111,630
"890","AVE H","D32","16:20",1226.75,1663
"891","AVE H","D32","20:0",446.25,1096.25
"892","AVE H","D32","4:8",512.5,130.25
"893","AVE H","D32","8:12",2302.75,638.25
"894","AVE I","F31","0:4",316.5,390
"895","AVE I","F31","12:16",910.75,652.5
"896","AVE I","F31","16:20",982,1155
"897","AVE I","F31","4:8",430.25,410.5
"898","AVE I","F31","8:12",824.5,798.75
"899","AVE J","D33","0:4",273,442
"900","AVE J","D33","12:16",3042.5,1109.25
"901","AVE J","D33","16:20",3311,2191
"902","AVE J","D33","20:0",1147.25,1161.75
"903","AVE J","D33","4:8",949.75,260
"904","AVE J","D33","8:12",4548.75,1545
"905","AVE M","D34","0:4",174,136.75
"906","AVE M","D34","12:16",3479,820.75
"907","AVE M","D34","16:20",3268.5,1251.75
"908","AVE M","D34","20:0",951,621.5
"909","AVE M","D34","4:8",867.25,130.5
"910","AVE M","D34","8:12",4030.25,2094
"911","AVE N","F33","0:4",476.25,1010.25
"912","AVE N","F33","12:16",1483.75,975.5
"913","AVE N","F33","16:20",1347.25,1948.75
"914","AVE N","F33","4:8",1754.5,390
"915","AVE N","F33","8:12",2695.25,1115
"916","AVE P","F34","0:4",76.5,183.25
"917","AVE P","F34","12:16",948.5,507.75
"918","AVE P","F34","16:20",1123.5,1242.5
"919","AVE P","F34","20:0",457.25,809.75
"920","AVE P","F34","4:8",663.25,106.75
"921","AVE P","F34","8:12",2847.25,762.75
"922","AVE U","D37","0:4",932.5,920.75
"923","AVE U","D37","12:16",2990.25,1265.75
"924","AVE U","D37","16:20",2777.75,2152.5
"925","AVE U","D37","4:8",3426.25,279.5
"926","AVE U","D37","8:12",5148.75,901.75
"927","AVE U","F36","0:4",338.25,319.25
"928","AVE U","F36","12:16",843,422
"929","AVE U","F36","16:20",1060,638.25
"930","AVE U","F36","4:8",1278.75,173.25
"931","AVE U","F36","8:12",1382.75,454.75
"932","AVE U","N09","0:4",515.25,1381
"933","AVE U","N09","12:16",1550,1288.75
"934","AVE U","N09","16:20",1463.5,2889.5
"935","AVE U","N09","4:8",2225,409.25
"936","AVE U","N09","8:12",3121,1037.75
"937","AVE X","F38","0:4",116.75,195.5
"938","AVE X","F38","12:16",1140.25,575
"939","AVE X","F38","16:20",1315.25,1382.25
"940","AVE X","F38","20:0",522.25,878.75
"941","AVE X","F38","4:8",865.25,166
"942","AVE X","F38","8:12",2335,752.5
"943","BARCLAYS CENTER","235","0:4",5158,2555.25
"944","BARCLAYS CENTER","235","12:16",15927.5,17126.25
"945","BARCLAYS CENTER","235","16:20",28290,37264.75
"946","BARCLAYS CENTER","235","20:0",20320.75,17980
"947","BARCLAYS CENTER","235","4:8",3370.5,2401
"948","BARCLAYS CENTER","235","8:12",25486,16908.75
"949","BAY 50 ST","B23","0:4",316,255
"950","BAY 50 ST","B23","12:16",1158.5,343
"951","BAY 50 ST","B23","16:20",891,462
"952","BAY 50 ST","B23","4:8",1703.5,259
"953","BAY 50 ST","B23","8:12",1773.75,655
"954","BAY PARKWAY","B21","0:4",1110,2775
"955","BAY PARKWAY","B21","12:16",3111,3153.25
"956","BAY PARKWAY","B21","16:20",2723.75,6359.25
"957","BAY PARKWAY","B21","4:8",4250.5,758
"958","BAY PARKWAY","B21","8:12",5074.75,1988
"959","BAY RIDGE AVE","R42","0:4",240.75,429.25
"960","BAY RIDGE AVE","R42","12:16",3747,1203
"961","BAY RIDGE AVE","R42","16:20",3637.25,3198.5
"962","BAY RIDGE AVE","R42","20:0",1404,1945.25
"963","BAY RIDGE AVE","R42","4:8",1999,195
"964","BAY RIDGE AVE","R42","8:12",7253.75,966.75
"965","BAY RIDGE-95 ST","R45","0:4",177.25,494
"966","BAY RIDGE-95 ST","R45","12:16",2334.75,1279.5
"967","BAY RIDGE-95 ST","R45","16:20",2425.75,3191.75
"968","BAY RIDGE-95 ST","R45","20:0",1107.25,2005.25
"969","BAY RIDGE-95 ST","R45","4:8",1415,235.5
"970","BAY RIDGE-95 ST","R45","8:12",5827.25,1246
"971","BAYCHESTER AVE","502","0:4",546.5,208.25
"972","BAYCHESTER AVE","502","12:16",2233,218.75
"973","BAYCHESTER AVE","502","16:20",1327.75,304.25
"974","BAYCHESTER AVE","502","4:8",2667.75,81
"975","BAYCHESTER AVE","502","8:12",1892,121.25
"976","BEACH 105 ST","H14","0:4",25.5,104.5
"977","BEACH 105 ST","H14","12:16",172.5,74.75
"978","BEACH 105 ST","H14","16:20",46.5,260.5
"979","BEACH 105 ST","H14","4:8",234,91.5
"980","BEACH 105 ST","H14","8:12",66.75,87.25
"981","BEACH 25 ST","H10","0:4",79.75,352.25
"982","BEACH 25 ST","H10","12:16",701.75,388
"983","BEACH 25 ST","H10","16:20",505.25,1307.75
"984","BEACH 25 ST","H10","20:0",250.25,934.25
"985","BEACH 25 ST","H10","4:8",587.75,129.5
"986","BEACH 25 ST","H10","8:12",1505,641.5
"987","BEACH 36 ST","H09","0:4",44.5,181.5
"988","BEACH 36 ST","H09","12:16",346.25,246.25
"989","BEACH 36 ST","H09","16:20",322.75,773.25
"990","BEACH 36 ST","H09","20:0",187,504
"991","BEACH 36 ST","H09","4:8",482.75,75.75
"992","BEACH 36 ST","H09","8:12",600.5,206.25
"993","BEACH 44 ST","H08","0:4",39.5,123
"994","BEACH 44 ST","H08","12:16",242,187.75
"995","BEACH 44 ST","H08","16:20",278.5,494
"996","BEACH 44 ST","H08","20:0",115.5,348
"997","BEACH 44 ST","H08","4:8",213.75,72.75
"998","BEACH 44 ST","H08","8:12",444.25,176
"999","BEACH 60 ST","H07","0:4",135.75,524.5
"1000","BEACH 60 ST","H07","12:16",1065.5,802
"1001","BEACH 60 ST","H07","16:20",906,1967
"1002","BEACH 60 ST","H07","20:0",487.25,1321.75
"1003","BEACH 60 ST","H07","4:8",1108.25,222.75
"1004","BEACH 60 ST","H07","8:12",1821,613.5
"1005","BEACH 67 ST","H06","0:4",118.75,469
"1006","BEACH 67 ST","H06","12:16",942.75,696.5
"1007","BEACH 67 ST","H06","16:20",853,1878
"1008","BEACH 67 ST","H06","20:0",431.5,1304.75
"1009","BEACH 67 ST","H06","4:8",886,303.5
"1010","BEACH 67 ST","H06","8:12",1775.25,530
"1011","BEACH 90 ST","H12","0:4",121.5,378
"1012","BEACH 90 ST","H12","12:16",282,265.75
"1013","BEACH 90 ST","H12","16:20",214.25,645.25
"1014","BEACH 90 ST","H12","4:8",644.75,98.5
"1015","BEACH 90 ST","H12","8:12",331.75,170.75
"1016","BEACH 98 ST","H13","0:4",72.25,232.5
"1017","BEACH 98 ST","H13","12:16",343,145.25
"1018","BEACH 98 ST","H13","16:20",126.75,410
"1019","BEACH 98 ST","H13","4:8",377,177.5
"1020","BEACH 98 ST","H13","8:12",183.75,140.5
"1021","BEDFORD AVE","L08","0:4",4665,3754.25
"1022","BEDFORD AVE","L08","12:16",11011,9498.25
"1023","BEDFORD AVE","L08","16:20",14725.75,20732.25
"1024","BEDFORD AVE","L08","20:0",9670.75,17390.25
"1025","BEDFORD AVE","L08","4:8",2314.75,1851.25
"1026","BEDFORD AVE","L08","8:12",17033.25,6943.5
"1027","BEDFORD PARK BL","D03","0:4",1107.5,2245.25
"1028","BEDFORD PARK BL","D03","12:16",3031.5,1768.5
"1029","BEDFORD PARK BL","D03","16:20",2336.5,4211.75
"1030","BEDFORD PARK BL","D03","4:8",4524.5,727.75
"1031","BEDFORD PARK BL","D03","8:12",4286.25,1227
"1032","BEDFORD/NOSTRAN","G33","0:4",441.5,974
"1033","BEDFORD/NOSTRAN","G33","12:16",3567.75,1392.75
"1034","BEDFORD/NOSTRAN","G33","16:20",3698.25,3524.25
"1035","BEDFORD/NOSTRAN","G33","20:0",1858.75,2860.5
"1036","BEDFORD/NOSTRAN","G33","4:8",1172,372.75
"1037","BEDFORD/NOSTRAN","G33","8:12",7221.25,1189
"1038","BEEBE-39 AVE","R08","0:4",214.25,428
"1039","BEEBE-39 AVE","R08","12:16",1660.5,857.5
"1040","BEEBE-39 AVE","R08","16:20",2712.75,1596.5
"1041","BEEBE-39 AVE","R08","20:0",761.5,1034
"1042","BEEBE-39 AVE","R08","4:8",203.75,328.5
"1043","BEEBE-39 AVE","R08","8:12",1872.25,1597.25
"1044","BERGEN ST","236","0:4",309.25,301.75
"1045","BERGEN ST","236","12:16",1422,1079.25
"1046","BERGEN ST","236","16:20",1764.25,2556.5
"1047","BERGEN ST","236","20:0",1231.75,1607.25
"1048","BERGEN ST","236","4:8",272.75,185.25
"1049","BERGEN ST","236","8:12",3340.75,1068.25
"1050","BERGEN ST","F20","0:4",3248.75,2504.5
"1051","BERGEN ST","F20","12:16",5225.25,3276.75
"1052","BERGEN ST","F20","16:20",6610.25,5755.25
"1053","BERGEN ST","F20","4:8",2343.5,985.25
"1054","BERGEN ST","F20","8:12",7699.25,2812
"1055","BEVERLEY ROAD","D29","0:4",125.5,598.75
"1056","BEVERLEY ROAD","D29","12:16",1157.25,711.5
"1057","BEVERLEY ROAD","D29","16:20",1062.5,2257
"1058","BEVERLEY ROAD","D29","20:0",566,1598.25
"1059","BEVERLEY ROAD","D29","4:8",684.25,172.25
"1060","BEVERLEY ROAD","D29","8:12",2726.75,467
"1061","BLEECKER ST","637","0:4",2580.25,352.5
"1062","BLEECKER ST","637","12:16",5064.5,2559.75
"1063","BLEECKER ST","637","16:20",10813.25,4304.5
"1064","BLEECKER ST","637","20:0",7120,1805.5
