"","station","station_id","entry_exits_period","hourly_entries","hourly_exits"
"131","14 ST","132","4:8",1072.5,1141
"132","14 ST","132","8:12",7777.5,6449.25
"133","14 ST","A31","0:4",7667.25,3800
"134","14 ST","A31","12:16",10985.5,8396
"135","14 ST","A31","16:20",17114,8725
"136","14 ST","A31","4:8",1596.5,4644.5
"137","14 ST","A31","8:12",5051,12928
"138","14 ST-6 AVE","132","0:4",1561,1304.75
"139","14 ST-6 AVE","132","12:16",7247,9852.75
"140","14 ST-6 AVE","132","16:20",16316.75,13320.25
"141","14 ST-6 AVE","132","20:0",8649.75,5692.25
"142","14 ST-6 AVE","132","4:8",601.75,1880.25
"143","14 ST-6 AVE","132","8:12",4848,13447.5
"144","14 ST-UNION SQ","635","0:4",49547,20674
"145","14 ST-UNION SQ","635","12:16",54110.5,53735.75
"146","14 ST-UNION SQ","635","16:20",87860.5,58703
"147","14 ST-UNION SQ","635","4:8",7303.5,17690.25
"148","14 ST-UNION SQ","635","8:12",29442,58694.5
"149","145 ST","114","0:4",636.75,1901.5
"150","145 ST","114","12:16",5062.25,2902.25
"151","145 ST","114","16:20",5364.5,6010.5
"152","145 ST","114","20:0",2791.75,4553.25
"153","145 ST","114","4:8",1758.75,737.75
"154","145 ST","114","8:12",7117.75,2035
"155","145 ST","302","0:4",172.25,26.5
"156","145 ST","302","12:16",1671.75,76.5
"157","145 ST","302","16:20",1845.75,98.5
"158","145 ST","302","20:0",781,66.75
"159","145 ST","302","4:8",689.5,14
"160","145 ST","302","8:12",3124.25,76.5
"161","145 ST","A12","0:4",1493.75,4301
"162","145 ST","A12","12:16",10006.25,7078.75
"163","145 ST","A12","16:20",12181.75,16487
"164","145 ST","A12","20:0",6018.75,11331.5
"165","145 ST","A12","4:8",3906.5,1898.75
"166","145 ST","A12","8:12",15884.25,6287.5
"167","148 ST-LENOX","301","0:4",168.75,662.5
"168","148 ST-LENOX","301","12:16",1776.25,1104
"169","148 ST-LENOX","301","16:20",2137.25,2907.75
"170","148 ST-LENOX","301","20:0",812,1882.75
"171","148 ST-LENOX","301","4:8",727,193.5
"172","148 ST-LENOX","301","8:12",3373.25,1323
"173","149 ST-3 AVE","221","0:4",1091.5,1365.75
"174","149 ST-3 AVE","221","12:16",11984.75,4036.5
