 "bleecker st" ,-4,  "bleecker st"
 "borough hall" ,3,  "borough hall/ct"
 "botanic garden" ,-4,  "botanic garden"
 "bowery" ,-4,  "bowery"
 "bowling green" ,-4,  "bowling green"
 "brighton beach" ,-4,  "brighton beach"
 "richmond valley" ,9,None
 "broad channel" ,-4,  "broad channel"
 "annadale" ,6,None
 "broad st" ,-4,  "broad st"
 "broadway" ,-4,  "broadway"
 "broadway jct" ,3,None
 "broadway-lafayette st" ,7,  "broadway/lafay"
 "bronx park east" ,-4,  "bronx park east"
 "brook av" ,-1,  "brook av
 "21 st - queensbridge" ,10,"21 st"
 "brooklyn bridge - city hall" ,9,  "brooklyn bridge"
 "buhre av" ,-1,  "buhre av
 "burke av" ,-1,  "burke av
 "burnside av" ,-1,  "burnside av
 "bushwick av - aberdeen st" ,10,  "bushwick av
 "canal st" ,-4,  "canal st"
 "3 av - 149 st" ,6,"149 st-3 ave"
 "3 av - 138 st" ,6,"138 st-3 ave"
 "carroll st" ,-4,  "carroll st"
 "castle hill av" ,-1,  "castle hill av
 "cathedral pkwy (110 st)" ,7,  "cathedrl-110 st"
 "central park north (110 st)" ,15,"110 st-cpn"
 "central av" ,-1,  "central av
 "chambers st" ,-4,  "chambers st"
 "chauncey st" ,-4,  "chauncey st"
 "christopher st - sheridan sq" ,11,  "christopher st"
 "church av" ,-1,  "church av
 "city hall" ,-4,  "city hall"
 "clark st" ,-4,  "clark st"
 "clifton" ,5,None
 "classon av" ,-1,  "classon av
 "cleveland st" ,-4,  "cleveland st"
 "clinton - washington avs" ,7,  "clinton-wash av"
 "cortelyou rd" ,2,  "cortelyou road"
 "van cortlandt park - 242 st" ,11,"242 st"
 "cortlandt st" ,-4,  "cortlandt st"
 "court sq" ,-4,  "court sq"
 "court st" ,1,"borough hall/ct"
 "grand central - 42 st" ,10,"42 st-grd cntrl"
 "crescent st" ,-4,  "crescent st"
 "crown hts - utica av" ,2,  "crown hts-utica"
 "cypress av" ,-1,  "cypress av
 "dongan hills" ,7,None
 "great kills" ,6,None
 "cypress hills" ,-4,  "cypress hills"
 "dekalb av" ,-1,  "dekalb av
 "delancey st" ,-4,  "delancey st"
 "ditmas av" ,-1,  "ditmas av
 "dyckman st" ,-4,  "dyckman st"
 "e 143 st - st mary's st" ,11,  "e 143 st"
 "e 149 st" ,-4,  "e 149 st"
 "e 180 st" ,-4,  "e 180 st"
 "west farms sq - e tremont av" ,13,  "e tremont av
 "e 105 st" ,3,  "east 105 st"
 "east broadway" ,-4,  "east broadway"
 "cathedral pkwy" ,6,"cathedrl-110 st"
 "eastern pkwy - brooklyn museum" ,15,  "eastern pkwy"
 "85 st - forest pkwy" ,8,"forest parkway"
 "elder av" ,-1,  "elder av
 "elmhurst av" ,-1,  "elmhurst av
 "times sq - 42 st" ,7,"42 st-times sq"
 "essex st" ,-4,  "essex st"
 "euclid av" ,-1,  "euclid av
 "far rockaway - mott av" ,7,  "far rockaway"
 "flatbush av - brooklyn college" ,15,  "flatbush av
 "flushing av" ,-1,  "flushing av
 "flushing - main st" ,7,  "flushing av
 "fordham rd" ,2,  "fordham road"
 "forest av" ,-1,  "forest av
 "forest hills - 71 av" ,2,  "forest hills-71"
 "franklin av" ,-1,  "franklin av
 "franklin st" ,-4,  "franklin st"
 "freeman st" ,-4,  "freeman st"
 "harlem - 148 st" ,7,"148 st-lenox"
 "fresh pond rd" ,2,  "fresh pond road"
 "fort hamilton pkwy" ,3,  "ft hamilton pky"
 "fulton st" ,-4,  "fulton st"
 "gates av" ,-1,  "gates av
 "graham av" ,-1,  "graham av
 "grand army plaza" ,1,  "grand army plaz"
 "grand av - newtown" ,1,  "grand av-newton"
 "grasmere" ,5,None
 "grant city" ,4,None
 "grand st" ,-4,  "grand st"
 "30 av" ,4,  "grand-30 ave"
 "grant av" ,-1,  "grant av
 "greenpoint av" ,-1,  "greenpoint av
 "gun hill rd" ,2,  "gun hill road"
 "halsey st" ,-4,  "halsey st"
 "hewes st" ,-4,  "hewes st"
 "69 st" ,4,  "69 st-fisk ave"
 "88 st" ,4,"boyd-88 st"
 "high st" ,-4,  "high st"
 "168 st" ,4,"168 st-broadway"
 "49 st" ,4,"49 st-7 ave"
 "40 st" ,4,  "40 st-lowery st"
 "52 st" ,4,  "52 st-lincoln"
 "62 st" ,4,"ft hamilton pky"
 "80 st" ,4,"hudson-80 st"
 "houston st" ,-4,  "houston st"
 "howard beach - jfk airport" ,9,  "howard bch-jfk"
 "hoyt st" ,-4,  "hoyt st"
 "hoyt - schermerhorn sts" ,8,  "hoyt/schermer"
 "hunts point av" ,-1,  "hunts point av
 "hunters point av" ,3,  "hunts point av
 "intervale av" ,4,  "intervale-163"
 "inwood - 207 st" ,0,  "inwood-207 st"
 "oakwood heights" ,9,None
 "jackson av" ,-1,  "jackson av
 "jamaica center - parsons/archer" ,15,  "jamaica center"
 "jamaica - 179 st" ,0,  "jamaica-179 st"
 "jamaica - van wyck" ,1,  "jamaica-van wyc"
 "jay st - metrotech" ,1,  "jay st-metrotec"
 "jefferson av" ,2,None
 "jefferson st" ,-4,  "jefferson st"
 "junction blvd" ,-4,  "junction blvd"
 "junius st" ,-4,  "junius st"
 "kings hwy" ,4,  "kings highway"
 "kingsbridge rd" ,-4,  "kingsbridge rd"
 "kingston av" ,-1,  "kingston av
 "kingston - throop avs" ,3,  "kingston-throop"
 "knickerbocker av" ,2,  "knickerbocker"
 "kosciuszko st" ,-4,  "kosciuszko st"
 "lafayette av" ,-1,  "lafayette av
 "ozone park - lefferts blvd" ,10,  "lefferts blvd"
 "lexington av/63 st" ,4,  "lexington av
 "lexington av/59 st" ,4,  " 59 st"
 "lexington av/53 st" ,3,  "lexington-53 st"
 "liberty av" ,-1,  "liberty av
 "livonia av" ,-1,  "livonia av
 "longwood av" ,-1,  "longwood av
 "lorimer st" ,-4,  "lorimer st"
 "marble hill - 225 st" ,2,  "marble hill-225"
 "marcy av" ,-1,  "marcy av
 "metropolitan av" ,-4,  "metropolitan av"
 "middle village - metropolitan av" ,14,  "metropolitan av"
 "mets - willets point" ,3,  "mets-willets pt"
 "middletown rd" ,2,  "middletown road"
 "montrose av" ,-1,  "montrose av
 "morgan av" ,-1,  "morgan av
 "morris park" ,-4,  "morris park"
 "morrison av- sound view" ,9,  "morrison av
 "mosholu pkwy" ,3,  "mosholu parkway"
 "mt eden av" ,-1,  "mt eden av
 "myrtle av" ,-1,  "myrtle av
 "myrtle - wyckoff avs" ,8,  "myrtle av
 "myrtle - willoughby avs" ,5,  "myrtle-willough"
 "nassau" ,2,None
 "nassau av" ,-4,  "nassau av"
 "neck rd" ,2,  "neck road"
 "neptune av" ,-1,  "neptune av
 "nereid av" ,-1,  "nereid av
 "nevins st" ,-4,  "nevins st"
 "new lots av" ,-1,  "new lots av
 "new utrecht av" ,-1,  "new utrecht av
 "new dorp" ,4,None
 "newkirk av" ,-1,  "newkirk av
 "newkirk plaza" ,-4,  "newkirk plaza"
 "northern blvd" ,-4,  "northern blvd"
 "astoria - ditmars blvd" ,11,  "ditmars bl-31 s"
 "norwood av" ,-1,  "norwood av
 "norwood - 205 st" ,0,  "norwood-205 st"
 "nostrand av" ,-1,  "nostrand av
 "ocean pkwy" ,3,  "ocean parkway"
 "park pl" ,3,  "park place"
 "parkside av" ,-1,  "parkside av
 "parsons blvd" ,-4,  "parsons blvd"
 "pelham bay park" ,-4,  "pelham bay park"
 "pelham pkwy" ,3,  "pelham parkway"
 "pennsylvania av" ,-4,  "pennsylvania av"
 "president st" ,-4,  "president st"
 "woodside - 61 st" ,7,“61 st/woodside"

 "prince's bay" ,5,None
 "prospect av" ,-1,  "prospect av
 "prospect park" ,-4,  "prospect park"
 "queens plaza" ,-4,  "queens plaza"
 "queensboro plaza" ,2,  "queensboro plz"
 "ralph av" ,-1,  "ralph av
 "rector st" ,-4,  "rector st"
 "jackson hts - roosevelt av" ,11,  "rit-roosevelt"
 "rockaway av" ,-1,  "rockaway av
 "rockaway blvd" ,-4,  "rockaway blvd"
 "rockaway park - beach 116 st" ,10,  "rockaway pk 116"
 "canarsie - rockaway pkwy" ,10,  "rockaway pky"
 "roosevelt island" ,4,  "roosevelt is"
 "saratoga av" ,-1,  "saratoga av
 "seneca av" ,-1,  "seneca av
 "sheepshead bay" ,-4,  "sheepshead bay"
 "shepherd av" ,-1,  "shepherd av
 "simpson st" ,-4,  "simpson st"
 "smith - 9 sts" ,1,  "smith-9 st"
 "south ferry loop" ,4,  "south ferry"
 "prince st" ,3,  "prince st-b'way" 
 "spring st" ,-4,  "spring st"
 "st lawrence av" ,-1,  "st lawrence av
 "st george" ,1,  "st. george"
 "old town" ,5,None
 "stapleton" ,4,None
 "steinway st" ,-4,  "steinway st"
 "sterling st" ,-4,  "sterling st"
 "coney island - stillwell av" ,13,  "stillwell av
 "astoria blvd" ,5,"hoyt st-astoria"
 "sutphin blvd" ,-4,  "sutphin blvd"
 "sutphin blvd - archer av - jfk airport" ,20,  "sutphin blvd"
 "sutter av - rutland rd" ,9,  "sutter av
 "sutter av" ,-1,  "sutter av
 "tottenville" ,5,None
 "tompkinsville" ,-4,  "tompkinsville"
 "eltingville" ,6,None
 "tremont av" ,-1,  "tremont av
 "union st" ,-4,  "union st"
 "utica av" ,-1,  "utica av
 "van siclen av" ,-1,  "van siclen av
 "briarwood - van wyck blvd" ,10,  "van wyck blvd"
 "vernon blvd - jackson av" ,7,  "vernon/jackson"
 "w 8 st - ny aquarium" ,2,  "w 8 st-aquarium"
 "wakefield - 241 st" ,2,  "wakefield-241"
 "wall st" ,-4,  "wall st"
 "westchester sq - e tremont av" ,11,  "westchester sq"
 "whitehall st" ,-4,  "whitehall st"
 "whitlock av" ,-1,  "whitlock av
 "wilson av" ,-1,  "wilson av
 "winthrop st" ,-4,  "winthrop st"
 "woodhaven blvd" ,-4,  "woodhaven blvd"
 "woodlawn" ,4,  "woodlawn road"
 "world trade center" ,3,  "world trade ctr"
 "york st" ,-4,  "york st"
 "zerega av" ,-1,  "zerega av
 av h" ,-4,  av h"
 av i" ,-4,  av i"
 av j" ,-4,  av j"
 av m" ,-4,  av m"
 av n" ,-4,  av n"
 av p" ,-4,  av p"
 av u" ,-4,  av u"
 av x" ,-4,  av x"
 "w 4 st" ,3,"w 4 st-wash sq"
 "39 av" ,4,“beebe-39 ave”
