"","stop_id",,"google_station"
"380","S28",IS,"""Clifton"""

"381","S29",IS,"""Stapleton"""

"382","S30",IS,"""Tompkinsville"""

"383","S31",IS,"""St George"""

"384","G05",EJZ,"""Jamaica Center - Parsons/Archer"""

"385","G06",EJZ,"""Sutphin Blvd - Archer Av - JFK Airport"""

"386","J12",JZ,"""121 St"""

"387","J14",JZ,"""104 St"""

"388","J15",JZ,"""Woodhaven Blvd"""

"389","J17",JZ,"""75 St"""

"390","J20",JZ,"""Crescent St"""

"391","J21",JZ,"""Norwood Av"""

"392","J23",JZ,"""Van Siclen Av"""

"393","J24",JZ,"""Alabama Av"""

"394","J28",JZ,"""Chauncey St"""

"395","J30",JZ,"""Gates Av"""

"396","M11",JMZ,"""Myrtle Av"""

"397","M16",JMZ,"""Marcy Av"""

"398","M19",JZ,"""Bowery"""

"399","M23",JZ,"""Broad St"""

"400","112",1AC,"""168 St - Washington Hts"""

"401","125",1ABCD,"""59 St - Columbus Circle"""

"402","127",1237ACEGNQRS,"""Times Sq - 42 St"""

"403","132",123FLM,"""14 St"""

"404","140",1NR,"""South Ferry Loop"""

"405","222",245,"""149 St - Grand Concourse"""

"406","228",23ACE,"""Park Pl"""

"407","229",2345ACJZ,"""Fulton St"""

"408","232",2345NR,"""Borough Hall"""

"409","235",2345BDNQR,"""Atlantic Av - Barclays Ctr"""

"410","239",2345FS,"""Franklin Av"""

"411","254",34L,"""Junius St"""

"412","414",4BD,"""161 St - Yankee Stadium"""

"413","415",245,"""149 St - Grand Concourse"""

"414","418",2345ACJZ,"""Fulton St"""

"415","423",2345NR,"""Borough Hall"""

"416","629",456FNR,"""59 St"""

"417","630",6EM,"""51 St"""

"418","631",4567GS,"""Grand Central - 42 St"""

"419","635",456LNQR,"""14 St - Union Sq"""

"420","637",6BDFM,"""Bleecker St"""

"421","639",6JNQRZ,"""Canal St"""

"422","640",456JZ,"""Brooklyn Bridge - City Hall"""

"423","710",7EFMR,"""74 St - Broadway"""

"424","718",7N,"""Queensboro Plaza"""

"425","719",7EGM,"""Court Sq"""

"426","723",4567GS,"""Grand Central - 42 St"""

"427","724",7BDFM,"""5 Av"""

"428","725",1237ACEGNQRS,"""Times Sq - 42 St"""

"429","901",4567GS,"""Grand Central - 42 St"""

"430","902",1237ACEGNQRS,"""Times Sq - 42 St"""

"431","A09",1AC,"""168 St"""

"432","A12",ABCD,"""145 St"""

"433","A24",1ABCD,"""59 St - Columbus Circle"""

"434","A27",1237ACEGNQRS,"""42 St - Port Authority Bus Terminal"""

"435","A31",ACEL,"""14 St"""

"436","A32",ABCDEFM,"""W 4 St"""

"437","A36",23ACE,"""Chambers St"""

"438","A38",2345ACJZ,"""Fulton St"""

"439","A41",ACFNR,"""Jay St - MetroTech"""

"440","A45",ACFS,"""Franklin Av"""

"441","A51",ACJLZ,"""Broadway Jct"""

"442","B08",456FNR,"""Lexington Av/63 St"""

"443","B16",DN,"""62 St"""

"444","D11",4BD,"""161 St - Yankee Stadium"""

"445","D13",ABCD,"""145 St"""

"446","D16",7BDFM,"""42 St - Bryant Pk"""

"447","D17",BDFMNQR,"""34 St - Herald Sq"""

"448","D19",123FLM,"""14 St"""

"449","D20",ABCDEFM,"""W 4 St"""

"450","D21",6BDFM,"""Broadway-Lafayette St"""

"451","D24",2345BDNQR,"""Atlantic Av - Barclays Ctr"""

"452","E01",23ACE,"""World Trade Center"""

"453","F09",7EGM,"""Court Sq"""

"454","F11",6EM,"""Lexington Av/53 St"""

"455","F15",FJMZ,"""Delancey St"""

"456","F23",DFGNR,"""4 Av"""

"457","G14",7EFMR,"""Jackson Hts - Roosevelt Av"""

"458","G22",7EGM,"""Court Sq"""

"459","G29",GL,"""Metropolitan Av"""

"460","J27",ACJLZ,"""Broadway Jct"""

"461","L01",ACEL,"""8 Av"""

"462","L02",123FLM,"""6 Av"""

"463","L03",456LNQR,"""Union Sq - 14 St"""

"464","L10",GL,"""Lorimer St"""

"465","L17",LM,"""Myrtle - Wyckoff Avs"""

"466","L22",ACJLZ,"""Broadway Jct"""

"467","L26",34L,"""Livonia Av"""

"468","M08",LM,"""Myrtle - Wyckoff Avs"""

"469","M18",FJMZ,"""Essex St"""

"470","M20",6JNQRZ,"""Canal St"""

"471","M21",456JZ,"""Chambers St"""

"472","M22",2345ACJZ,"""Fulton St"""

"473","N04",DN,"""New Utrecht Av"""

"474","Q01",6JNQRZ,"""Canal St"""

"475","R09",7N,"""Queensboro Plaza"""

"476","R11",456FNR,"""Lexington Av/59 St"""

"477","R16",1237ACEGNQRS,"""Times Sq - 42 St"""

"478","R17",BDFMNQR,"""34 St - Herald Sq"""

"479","R20",456LNQR,"""14 St - Union Sq"""

"480","R23",6JNQRZ,"""Canal St"""

"481","R27",1NR,"""Whitehall St"""

"482","R28",2345NR,"""Court St"""

"483","R29",ACFNR,"""Jay St - MetroTech"""

"484","R31",2345BDNQR,"""Atlantic Av - Barclays Ctr"""

"485","R33",DFGNR,"""9 St"""

"486","S01",ACFS,"""Franklin Av"""

"487","S04",2345FS,"""Botanic Garden"""

