"","Train","FromStopID","FromStation","FromLine","ToStopID","ToStation","ToLine","TravelTime"
"90","5","204","""Nereid Av""","25","205","""233 St""","25",90
"91","5","205","""233 St""","25","206","""225 St""","25",90
"92","5","206","""225 St""","25","207","""219 St""","25",60
"93","5","207","""219 St""","25","208","""Gun Hill Rd""","25",120
"94","5","208","""Gun Hill Rd""","25","209","""Burke Av""","25",90
"95","5","209","""Burke Av""","25","210","""Allerton Av""","25",90
"96","5","210","""Allerton Av""","25","211","""Pelham Pkwy""","25",120
"97","5","211","""Pelham Pkwy""","25","212","""Bronx Park East""","25",150
"98","5","212","""Bronx Park East""","25","213","""E 180 St""","25",120
"99","5","213","""E 180 St""","25","221","""3 Av - 149 St""","25",690
"100","5","221","""3 Av - 149 St""","25","222","""149 St - Grand Concourse""","25",120
"101","5","222","""149 St - Grand Concourse""","25","416","""138 St - Grand Concourse""","45",270
"102","5","416","""138 St - Grand Concourse""","45","621","""125 St""","4566X",270
"103","5","621","""125 St""","4566X","626","""86 St""","4566X",330
"104","5","626","""86 St""","4566X","629","""59 St""","4566X",360
"105","5","629","""59 St""","4566X","631","""Grand Central - 42 St""","4566X",240
"106","5","631","""Grand Central - 42 St""","4566X","635","""14 St - Union Sq""","4566X",300
"107","5","635","""14 St - Union Sq""","4566X","640","""Brooklyn Bridge - City Hall""","4566X6X",360
"108","5","640","""Brooklyn Bridge - City Hall""","4566X6X","418","""Fulton St""","45",120
"109","5","418","""Fulton St""","45","419","""Wall St""","45",90
"110","5","419","""Wall St""","45","420","""Bowling Green""","45",90
"111","5","420","""Bowling Green""","45","423","""Borough Hall""","45",330
"112","5","423","""Borough Hall""","45","234","""Nevins St""","2345",120
"113","5","234","""Nevins St""","2345","235","""Atlantic Av - Barclays Ctr""","2345",90
"114","5","235","""Atlantic Av - Barclays Ctr""","2345","239","""Franklin Av""","2345",300
"115","5","239","""Franklin Av""","2345","250","""Crown Hts - Utica Av""","345",270
"116","5","250","""Crown Hts - Utica Av""","345","242","""Sterling St""","25",90
"117","5","242","""Sterling St""","25","243","""Winthrop St""","25",90
"118","5","243","""Winthrop St""","25","244","""Church Av""","25",90
"119","5","244","""Church Av""","25","245","""Beverly Rd""","25",90
"120","5","245","""Beverly Rd""","25","246","""Newkirk Av""","25",90
"121","5","246","""Newkirk Av""","25","247","""Flatbush Av - Brooklyn College""","25",120
"122","5","247","""Flatbush Av - Brooklyn College""","25","503","""Gun Hill Rd""","5",180
"123","5","503","""Gun Hill Rd""","5","502","""Baychester Av""","5",120
"124","5","502","""Baychester Av""","5","501","""Eastchester - Dyre Av""","5",150
"125","5","501","""Eastchester - Dyre Av""","5","503","""Gun Hill Rd""","5",180
"126","5","503","""Gun Hill Rd""","5","502","""Baychester Av""","5",120
"127","5","502","""Baychester Av""","5","501","""Eastchester - Dyre Av""","5",150
"129","6","601","""Pelham Bay Park""","66X","602","""Buhre Av""","66X",150
"130","6","602","""Buhre Av""","66X","603","""Middletown Rd""","66X",90
"131","6","603","""Middletown Rd""","66X","604","""Westchester Sq - E Tremont Av""","66X",90
"132","6","604","""Westchester Sq - E Tremont Av""","66X","606","""Zerega Av""","66X",60
"133","6","606","""Zerega Av""","66X","607","""Castle Hill Av""","66X",60
"134","6","607","""Castle Hill Av""","66X","608","""Parkchester""","66X",120
"135","6","608","""Parkchester""","66X","609","""St Lawrence Av""","6",90
"136","6","609","""St Lawrence Av""","6","610","""Morrison Av- Sound View""","6",90
"137","6","610","""Morrison Av- Sound View""","6","611","""Elder Av""","6",60
"138","6","611","""Elder Av""","6","612","""Whitlock Av""","6",90
"139","6","612","""Whitlock Av""","6","613","""Hunts Point Av""","66X",120
"140","6","613","""Hunts Point Av""","66X","614","""Longwood Av""","6",90
"141","6","614","""Longwood Av""","6","615","""E 149 St""","6",120
"142","6","615","""E 149 St""","6","616","""E 143 St - St Mary's St""","6",60
"143","6","616","""E 143 St - St Mary's St""","6","617","""Cypress Av""","6",120
"144","6","617","""Cypress Av""","6","618","""Brook Av""","6",60
"145","6","618","""Brook Av""","6","619","""3 Av - 138 St""","66X",90
"146","6","619","""3 Av - 138 St""","66X","621","""125 St""","4566X",180
"147","6","621","""125 St""","4566X","622","""116 St""","66X",90
"148","6","622","""116 St""","66X","623","""110 St""","66X",90
"149","6","623","""110 St""","66X","624","""103 St""","66X",60
