,entry_exits_period,station.x,rounded_scaled_exits,new_rounded_hourly_entries,station_id
1,0:4,"Van Cortlandt Park - 242 St"101,127,79,101
2,0:4,"145 St"302,5,39,302
3,0:4,"Park Pl"228,29,60,228
4,0:4,"St Lawrence Av"609,205,51,609
5,0:4,"23 St"634,280,769,634
6,0:4,"66 St - Lincoln Center"124,381,865,124
7,0:4,"238 St"103,4,50,103
8,0:4,"Nostrand Av"248,227,77,248
9,0:4,"Fulton St"229,502,908,229
10,0:4,"Parkchester"608,729,192,608
11,0:4,"28 St"633,378,670,633
12,0:4,"59 St - Columbus Circle"125,735,2162,125
13,0:4,"231 St"104,55,119,104
14,0:4,"Kingston Av"249,204,65,249
15,0:4,"Wall St"230,242,392,230
16,0:4,"Castle Hill Av"607,309,91,607
17,0:4,"33 St"632,391,789,632
18,0:4,"50 St"126,330,839,126
19,0:4,"Marble Hill - 225 St"106,46,93,106
20,0:4,"Crown Hts - Utica Av"250,905,345,250
21,0:4,"Clark St"231,129,116,231
22,0:4,"Westchester Sq - E Tremont Av"604,200,85,604
23,0:4,"51 St"630,235,519,630
24,0:4,"Times Sq - 42 St"127,1390,3623,127
25,0:4,"215 St"107,26,35,107
26,0:4,"Sutter Av - Rutland Rd"251,195,103,251
27,0:4,"Borough Hall"232,344,563,232
28,0:4,"Middletown Rd"603,118,32,603
29,0:4,"68 St - Hunter College"628,243,743,628
30,0:4,"34 St - Penn Station"128,1074,1625,128
31,0:4,"207 St"108,108,117,108
32,0:4,"Saratoga Av"252,119,88,252
33,0:4,"Hoyt St"233,80,125,233
34,0:4,"Pelham Bay Park"601,142,113,601
35,0:4,"77 St"627,658,750,627
36,0:4,"28 St"129,150,454,129
37,0:4,"Dyckman St"109,199,114,109
38,0:4,"Rockaway Av"253,173,59,253
39,0:4,"Nevins St"234,173,225,234
40,0:4,"5 Av"724,71,342,724
41,0:4,"96 St"625,175,403,625
42,0:4,"23 St"130,241,515,130
43,0:4,"191 St"110,427,114,110
44,0:4,"Junius St"254,45,42,254
45,0:4,"Atlantic Av - Barclays Ctr"235,833,1022,235
46,0:4,"Vernon Blvd - Jackson Av"721,381,202,721
47,0:4,"103 St"624,469,227,624
48,0:4,"18 St"131,63,196,131
49,0:4,"181 St"111,508,182,111
50,0:4,"Pennsylvania Av"255,69,90,255
51,0:4,"Bergen St"236,95,61,236
52,0:4,"Hunters Point Av"720,72,56,720
53,0:4,"110 St"623,362,178,623
54,0:4,"14 St"132,667,1638,132
55,0:4,"168 St - Washington Hts"112,454,370,112
56,0:4,"Van Siclen Av"256,31,31,256
57,0:4,"Grand Army Plaza"237,109,99,237
58,0:4,"Court Sq"719,213,383,719
59,0:4,"116 St"622,328,284,622
60,0:4,"Christopher St - Sheridan Sq"133,280,530,133
61,0:4,"157 St"113,461,168,113
62,0:4,"New Lots Av"257,199,115,257
63,0:4,"Eastern Pkwy - Brooklyn Museum"238,185,66,238
64,0:4,"Queensboro Plaza"718,110,233,718
65,0:4,"3 Av - 138 St"619,251,114,619
66,0:4,"Houston St"134,135,361,134
67,0:4,"145 St"114,423,160,114
68,0:4,"Woodlawn"401,97,136,401
69,0:4,"Franklin Av"239,397,164,239
70,0:4,"33 St"716,64,242,716
71,0:4,"Brook Av"618,235,87,618
72,0:4,"Canal St"135,66,137,135
73,0:4,"137 St - City College"115,485,240,115
74,0:4,"Mosholu Pkwy"402,102,137,402
75,0:4,"President St"241,158,47,241
76,0:4,"40 St"715,411,127,715
77,0:4,"Cypress Av"617,84,56,617
78,0:4,"Franklin St"136,43,147,136
79,0:4,"125 St"116,301,160,116
80,0:4,"Bedford Park Blvd - Lehman College"405,151,93,405
81,0:4,"Sterling St"242,156,59,242
82,0:4,"46 St"714,546,182,714
83,0:4,"E 143 St - St Mary's St"616,26,14,616
84,0:4,"Chambers St"137,216,519,137
85,0:4,"116 St - Columbia University"117,151,451,117
86,0:4,"Kingsbridge Rd"406,241,169,406
87,0:4,"Winthrop St"243,50,85,243
88,0:4,"52 St"713,374,85,713
89,0:4,"E 149 St"615,173,69,615
90,0:4,"Rector St"139,140,133,139
91,0:4,"Cathedral Pkwy"118,266,315,118
92,0:4,"Fordham Rd"407,101,210,407
93,0:4,"Church Av"244,92,134,244
94,0:4,"Woodside - 61 St"712,778,215,712
95,0:4,"Longwood Av"614,119,47,614
96,0:4,"South Ferry Loop"140,351,162,140
97,0:4,"103 St"119,286,255,119
98,0:4,"183 St"408,157,90,408
99,0:4,"Beverly Rd"245,35,53,245
100,0:4,"69 St"711,240,72,711
101,0:4,"Hunts Point Av"613,277,153,613
102,0:4,"Wakefield - 241 St"201,249,113,201
103,0:4,"96 St"120,1454,889,120
104,0:4,"Burnside Av"409,273,172,409
105,0:4,"Newkirk Av"246,228,105,246
106,0:4,"74 St - Broadway"710,1960,890,710
107,0:4,"Whitlock Av"612,65,24,612
108,0:4,"Nereid Av"204,46,55,204
109,0:4,"86 St"121,594,512,121
110,0:4,"176 St"410,147,83,410
111,0:4,"Flatbush Av - Brooklyn College"247,423,286,247
112,0:4,"82 St - Jackson Hts"709,670,231,709
113,0:4,"Elder Av"611,317,82,611
114,0:4,"233 St"205,69,88,205
115,0:4,"79 St"122,236,453,122
116,0:4,"Mt Eden Av"411,184,89,411
117,0:4,"Harlem - 148 St"301,154,36,301
118,0:4,"90 St - Elmhurst Av"708,432,181,708
119,0:4,"Morrison Av- Sound View"610,307,79,610
120,0:4,"225 St"206,86,64,206
121,0:4,"72 St"123,890,1089,123
122,0:4,"170 St"412,257,131,412
123,0:4,"Broadway Jct"A51,330,192,A51
124,0:4,"Junction Blvd"707,868,225,707
125,0:4,"Rockaway Av"A50,159,80,A50
126,0:4,"219 St"207,65,55,207
127,0:4,"169 St"F02,270,99,F02
128,0:4,"167 St"413,412,140,413
129,0:4,"Utica Av"A48,585,273,A48
130,0:4,"103 St - Corona Plaza"706,822,212,706
131,0:4,"Liberty Av"A52,52,39,A52
132,0:4,"Gun Hill Rd"208,362,200,208
133,0:4,"Jamaica - 179 St"F01,391,179,F01
134,0:4,"161 St - Yankee Stadium"414,310,551,414
135,0:4,"Nostrand Av"A46,531,274,A46
136,0:4,"111 St"705,420,108,705
137,0:4,"Van Siclen Av"A53,137,47,A53
138,0:4,"Burke Av"209,58,53,209
139,0:4,"Botanic Garden"S04,67,27,S04
140,0:4,"138 St - Grand Concourse"416,82,51,416
141,0:4,"Hoyt - Schermerhorn Sts"A42,153,191,A42
142,0:4,"Mets - Willets Point"702,67,202,702
143,0:4,"Shepherd Av"A54,99,47,A54
144,0:4,"Allerton Av"210,90,92,210
145,0:4,"Park Pl"S03,81,30,S03
146,0:4,"125 St"621,728,567,621
147,0:4,"Jay St - MetroTech"A41,336,730,A41
148,0:4,"Flushing - Main St"701,1833,877,701
149,0:4,"Coney Island - Stillwell Av"D43,449,264,D43
150,0:4,"Pelham Pkwy"211,215,196,211
151,0:4,"21 St"G24,42,50,G24
152,0:4,"86 St"626,1303,1235,626
153,0:4,"High St"A40,200,177,A40
154,0:4,"Far Rockaway - Mott Av"H11,187,73,H11
155,0:4,"Bay 50 St"B23,21,23,B23
156,0:4,"Bronx Park East"212,43,37,212
157,0:4,"Greenpoint Av"G26,171,142,G26
158,0:4,"59 St"629,311,143,629
159,0:4,"Chambers St"A36,174,684,A36
160,0:4,"Beach 25 St"H10,95,20,H10
161,0:4,"25 Av"B22,58,46,B22
162,0:4,"E 180 St"213,282,109,213
163,0:4,"Nassau Av"G28,137,161,G28
164,0:4,"Grand Central - 42 St"631,1748,3073,631
165,0:4,"Canal St"A34,155,469,A34
166,0:4,"Beach 36 St"H09,46,13,H09
167,0:4,"Bay Pkwy"B21,277,87,B21
168,0:4,"West Farms Sq - E Tremont Av"214,263,139,214
169,0:4,"Metropolitan Av"G29,308,351,G29
170,0:4,"14 St - Union Sq"635,1665,4365,635
171,0:4,"W 4 St"A32,982,2209,A32
172,0:4,"Beach 44 St"H08,32,9,H08
173,0:4,"20 Av"B20,63,47,B20
174,0:4,"174 St"215,238,104,215
175,0:4,"Broadway"G30,124,69,G30
176,0:4,"Brooklyn Bridge - City Hall"640,182,393,640
177,0:4,"14 St"A31,322,703,A31
178,0:4,"Beach 60 St"H07,128,34,H07
179,0:4,"18 Av"B19,65,51,B19
180,0:4,"Freeman St"216,199,73,216
181,0:4,"Flushing Av"G31,77,40,G31
182,0:4,"Wall St"419,88,182,419
183,0:4,"34 St - Penn Station"A28,1756,2523,A28
184,0:4,"Beach 67 St"H06,114,33,H06
185,0:4,"79 St"B18,81,33,B18
186,0:4,"Simpson St"217,49,146,217
187,0:4,"Myrtle - Willoughby Avs"G32,190,70,G32
188,0:4,"Bowling Green"420,321,406,420
189,0:4,"42 St - Port Authority Bus Terminal"A27,1587,2402,A27
190,0:4,"Broad Channel"H04,3,3,H04
191,0:4,"71 St"B17,95,29,B17
192,0:4,"Intervale Av"218,132,51,218
193,0:4,"Bedford - Nostrand Avs"G33,248,94,G33
194,0:4,"Eastchester - Dyre Av"501,145,45,501
195,0:4,"125 St"A15,752,605,A15
196,0:4,"Howard Beach - JFK Airport"H03,158,131,H03
197,0:4,"62 St"B16,193,53,B16
198,0:4,"Prospect Av"219,80,121,219
199,0:4,"Classon Av"G34,213,63,G34
200,0:4,"Baychester Av"502,19,37,502
201,0:4,"145 St"A12,1083,406,A12
202,0:4,"Aqueduct - N Conduit Av"H02,68,26,H02
203,0:4,"55 St"B15,31,26,B15
204,0:4,"Jackson Av"220,47,80,220
205,0:4,"Clinton - Washington Avs"G35,38,96,G35
206,0:4,"Gun Hill Rd"503,362,200,503
207,0:4,"168 St"A09,0,0,A09
208,0:4,"Aqueduct Racetrack"H01,7,85,H01
209,0:4,"50 St"B14,74,42,B14
210,0:4,"3 Av - 149 St"221,314,281,221
211,0:4,"Fulton St"G36,108,138,G36
212,0:4,"Pelham Pkwy"504,215,196,504
213,0:4,"175 St"A07,287,120,A07
214,0:4,"Rockaway Blvd"A61,79,101,A61
215,0:4,"Fort Hamilton Pkwy"B13,96,52,B13
216,0:4,"149 St - Grand Concourse"222,260,301,222
217,0:4,"Rockaway Park - Beach 116 St"H15,30,10,H15
218,0:4,"Morris Park"505,88,11,505
219,0:4,"181 St"A06,520,104,A06
220,0:4,"88 St"A60,33,19,A60
221,0:4,"9 Av"B12,324,52,B12
222,0:4,"135 St"224,200,273,224
223,0:4,"Beach 105 St"H14,11,2,H14
224,0:4,"Canal St"639,440,1242,639
225,0:4,"190 St"A05,79,35,A05
226,0:4,"80 St"A59,201,50,A59
227,0:4,"36 St"R36,332,175,R36
228,0:4,"125 St"225,156,337,225
229,0:4,"Beach 98 St"H13,22,5,H13
230,0:4,"Spring St"638,182,326,638
231,0:4,"Dyckman St"A03,7,81,A03
232,0:4,"Grant Av"A57,254,76,A57
233,0:4,"Norwood - 205 St"D01,341,109,D01
234,0:4,"116 St"226,194,234,226
235,0:4,"Beach 90 St"H12,37,10,H12
236,0:4,"Bleecker St"637,111,567,637
237,0:4,"Inwood - 207 St"A02,243,118,A02
238,0:4,"Euclid Av"A55,104,122,A55
239,0:4,"World Trade Center"E01,107,196,E01
240,0:4,"Central Park North (110 St)"227,328,158,227
241,0:4,"Broad St"M23,18,113,M23
242,0:4,"Astor Pl"636,368,698,636
243,0:4,"Bedford Park Blvd"D03,216,91,D03
244,0:4,"Church Av"F27,322,105,F27
245,0:4,"5 Av/53 St"F12,67,246,F12
246,0:4,"Woodhaven Blvd"J15,73,70,J15
247,0:4,"Chambers St"M21,91,135,M21
248,0:4,"Broadway-Lafayette St"D21,391,840,D21
249,0:4,"Kingsbridge Rd"D04,298,103,D04
250,0:4,"Fort Hamilton Pkwy"F26,77,43,F26
251,0:4,"Lexington Av/53 St"F11,421,928,F11
252,0:4,"104 St"J14,65,23,J14
253,0:4,"Bowery"M19,58,160,M19
254,0:4,"Grand St"D22,326,502,D22
255,0:4,"Fordham Rd"D05,242,179,D05
256,0:4,"15 St - Prospect Park"F25,82,50,F25
257,0:4,"Queens Plaza"G21,203,167,G21
258,0:4,"111 St"J13,48,27,J13
259,0:4,"Essex St"M18,183,226,M18
260,0:4,"DeKalb Av"R30,210,279,R30
261,0:4,"182-183 Sts"D06,89,65,D06
262,0:4,"7 Av"F24,99,194,F24
263,0:4,"Jackson Hts - Roosevelt Av"G14,0,0,G14
264,0:4,"121 St"J12,46,40,J12
265,0:4,"Marcy Av"M16,323,291,M16
266,0:4,"7 Av"D25,357,154,D25
267,0:4,"Tremont Av"D07,278,118,D07
268,0:4,"4 Av"F23,210,93,F23
269,0:4,"Forest Hills - 71 Av"G08,417,413,G08
270,0:4,"Canarsie - Rockaway Pkwy"L29,163,205,L29
271,0:4,"Hewes St"M14,84,65,M14
272,0:4,"Prospect Park"D26,422,139,D26
273,0:4,"174-175 Sts"D08,75,64,D08
274,0:4,"Smith - 9 Sts"F22,139,94,F22
275,0:4,"Kew Gardens - Union Tpke"F06,523,156,F06
276,0:4,"E 105 St"L28,149,69,L28
277,0:4,"Lorimer St"M13,113,80,M13
278,0:4,"Church Av"D28,748,198,D28
279,0:4,"170 St"D09,161,91,D09
280,0:4,"Carroll St"F21,154,166,F21
281,0:4,"Jamaica - Van Wyck"G07,185,68,G07
