"","station","station_id","daily_entries","daily_exits"
"118","59 ST-COLUMBUS","125",1692.10675389902,2442.25368094105
"119","6 AVE","L02",161.790170940171,104.435042735043
"120","61 ST/WOODSIDE","712",757.626126126126,423.864864864865
"121","63 DR-REGO PARK","G10",777.238288288288,203.776576576577
"122","65 ST","G15",165.424561403509,71.4789473684211
"123","66 ST-LINCOLN","124",600.442342342342,730.777927927928
"124","67 AVE","G09",517.91036036036,135.925225225225
"125","68ST-HUNTER COL","628",685.656306306306,910.37027027027
"126","69 ST-FISK AVE","711",207.325675675676,136.686486486486
"127","7 AV-PARK SLOPE","F24",449.93018018018,54.3261261261261
"128","7 AVE","D25",390.140598290598,211.244871794872
"129","7 AVE-53 ST","D14",305.839473684211,801.972368421053
"130","71 ST","B17",277.050877192982,50.8513157894737
"131","72 ST","123",1151.35225225225,883.754054054054
"132","72 ST","A22",267.520512820513,269.090170940171
"133","75 AVE","F07",200.468468468468,10.8009009009009
"134","77 ST","627",1002.52297297297,1098.17522522523
"135","77 ST","R43",307.468803418803,60.7025641025641
"136","79 ST","122",486.103603603604,240.571171171171
"137","79 ST","B18",358.925134373073,72.5908824566041
"138","8 AVE","L01",631.983760683761,483.595726495726
"139","8 AVE","N02",356.942735042735,317.963675213675
"140","8 ST-B'WAY NYU","R21",509.377777777778,394.815811965812
"141","81 ST-MUSEUM","A21",289.666666666667,304.46452991453
"142","82 ST-JACKSON H","709",639.96036036036,500.878828828829
"143","86 ST","121",634.043243243243,557.712162162162
"144","86 ST","626",2366.16216216216,1834.11936936937
"145","86 ST","A20",394.988888888889,176.774358974359
"146","86 ST","N10",117.526495726496,19.6209401709402
"147","86 ST","R44",554.798717948718,175.227777777778
"148","9 AVE","B12",273.757692307692,166.402564102564
"149","9 ST","R33",378.701484712309,180.061675037448
"150","90 ST-ELMHURST","708",867.988738738739,237.833333333333
"151","96 ST","120",1332.91801801802,1143.96846846847
"152","96 ST","625",793.837186683298,210.601414627386
"153","96 ST","A19",343.067948717949,267.147435897436
"154","ALABAMA AVE","J24",93.2863247863248,83.3931623931624
"155","ALLERTON AVE","210",253.599777222875,63.9850812769291
"156","AQUEDUCT TRACK","H01",47.4012345679012,5.7037037037037
"157","AQUEDUCT-N CNDT","H02",64.6232456140351,40.0320175438596
"158","ASTOR PLACE","636",543.711711711712,435.02972972973
"159","ATLANTIC AVE","L24",85.001282051282,26.8871794871795
"160","AVE H","D32",136.223504273504,72.3824786324786
"161","AVE I","F31",47.2364864864865,49.7364864864865
"162","AVE J","D33",261.526495726496,105.694871794872
"163","AVE M","D34",225.734615384615,111.523931623932
"164","AVE N","F33",160.012162162162,71.4112612612613
"165","AVE P","F34",156.80356175848,49.0769137990449
"166","AVE U","D37",309.524711040255,60.7616226030734
"167","AVE U","F36",99.5045730513122,29.1449471210341
"168","AVE U","N09",188.188888888889,81.3948717948718
"169","AVE X","F38",145.527022130826,56.5930351547199
"170","BARCLAYS CENTER","235",1578.07863247863,1082.86965811966
"171","BAY 50 ST","B23",128.505128205128,39.3777777777778
"172","BAY PARKWAY","B21",352.203461581833,160.862773716796
"173","BAY PKY-22 AVE","N07",342.467948717949,143.129914529915
"174","BAY RIDGE AVE","R42",425.744534760772,87.7896026081593
"175","BAY RIDGE-95 ST","R45",330.504700854701,103.015811965812
"176","BAYCHESTER AVE","502",185.465484197042,13.0076362617346
"177","BEACH 105 ST","H14",12.9780701754386,10.8381578947368
"178","BEACH 25 ST","H10",100.218514371034,62.3791246733856
"179","BEACH 36 ST","H09",52.1622807017544,24.8776315789474
"180","BEACH 44 ST","H08",33.4268077601411,19.7861552028219
"181","BEACH 60 ST","H07",138.2,69.1885964912281
"182","BEACH 67 ST","H06",127.792543859649,67.5535087719298
"183","BEACH 90 ST","H12",44.7253620161515,20.9579457904019
