
"176 St"410,410,"Burnside Av"409,409,0
"72 St"123,123,"66 St - Lincoln Center"124,124,487
"72 St"123,123,"Times Sq - 42 St"127,127,786
"72 St"123,123,"79 St"122,122,0
"72 St"123,123,"96 St"120,120,0
"137 St - City College"115,115,"145 St"114,114,0
"137 St - City College"115,115,"125 St"116,116,1753
"82 St - Jackson Hts"709,709,"74 St - Broadway"710,710,1163
"82 St - Jackson Hts"709,709,"90 St - Elmhurst Av"708,708,0
"Broadway"G30,G30,"Flushing Av"G31,G31,0
"Broadway"G30,G30,"Metropolitan Av"G29,G29,0
"DeKalb Av"R30,R30,"Jay St - MetroTech"A41,A41,0
"DeKalb Av"R30,R30,"Canal St"639,639,2300
"DeKalb Av"R30,R30,"Grand St"D22,D22,0
"DeKalb Av"R30,R30,"Atlantic Av - Barclays Ctr"235,235,0
"207 St"108,108,"215 St"107,107,0
"207 St"108,108,"Dyckman St"109,109,1263
"Gun Hill Rd"208,208,"Burke Av"209,209,969
"Gun Hill Rd"208,208,"219 St"207,207,0
"Hunters Point Av"720,720,"Court Sq"719,719,0
"Hunters Point Av"720,720,"Vernon Blvd - Jackson Av"721,721,2958
"Jamaica - 179 St"F01,F01,"169 St"F02,F02,1613
"Church Av"D28,D28,"Newkirk Plaza"D31,D31,0
"Church Av"D28,D28,"Beverley Rd"D29,D29,0
"Church Av"D28,D28,"Prospect Park"D26,D26,2792
"Church Av"D28,D28,"Parkside Av"D27,D27,0
"Sterling St"242,242,"President St"241,241,1452
"Sterling St"242,242,"Winthrop St"243,243,0
"Burke Av"209,209,"Gun Hill Rd"208,208,0
"Burke Av"209,209,"Allerton Av"210,210,1096
"Kings Hwy"F35,F35,"Avenue P"F34,F34,331
"Kings Hwy"F35,F35,"Avenue U"F36,F36,0
"Woodside - 61 St"712,712,"69 St"711,711,0
"Woodside - 61 St"712,712,"Queensboro Plaza"718,718,6464
"Woodside - 61 St"712,712,"Junction Blvd"707,707,0
"Woodside - 61 St"712,712,"52 St"713,713,311
"Brooklyn Bridge - City Hall"640,640,"Canal St"639,639,0
"Brooklyn Bridge - City Hall"640,640,"Fulton St"229,229,0
"Brooklyn Bridge - City Hall"640,640,"14 St - Union Sq"635,635,0
"18 Av"B19,B19,"20 Av"B20,B20,0
"18 Av"B19,B19,"79 St"B18,B18,975
"Bay Pkwy"B21,B21,"20 Av"B20,B20,368
"Bay Pkwy"B21,B21,"25 Av"B22,B22,0
"Castle Hill Av"607,607,"Parkchester"608,608,829
"Castle Hill Av"607,607,"Westchester Sq - E Tremont Av"604,604,0
"Prospect Av"219,219,"Intervale Av"218,218,0
"Prospect Av"219,219,"Jackson Av"220,220,3185
"Pelham Pkwy"504,504,"Morris Park"505,505,888
"Pelham Pkwy"504,504,"Gun Hill Rd"503,503,0
"138 St - Grand Concourse"416,416,"125 St"621,621,3815
"138 St - Grand Concourse"416,416,"149 St - Grand Concourse"222,222,0
"Borough Hall"232,232,"Hoyt St"233,233,0
"Borough Hall"232,232,"Clark St"231,231,1311
"Borough Hall"232,232,"Nevins St"234,234,0
"Borough Hall"232,232,"Bowling Green"420,420,2220
"Fort Hamilton Pkwy"N03,N03,"8 Av"N02,N02,782
"Fort Hamilton Pkwy"N03,N03,"New Utrecht Av"N04,N04,0
"City Hall"R24,R24,"Canal St"639,639,0
"City Hall"R24,R24,"Cortlandt St"R25,R25,0
"Franklin Av"A45,A45,"Park Pl"S03,S03,0
"Franklin Av"A45,A45,"Clinton - Washington Avs"A44,A44,0
"Franklin Av"A45,A45,"Nostrand Av"A46,A46,0
"Church Av"244,244,"Winthrop St"243,243,1165
"Church Av"244,244,"Beverly Rd"245,245,0
"Canal St"A34,A34,"Chambers St"A36,A36,0
"Canal St"A34,A34,"W 4 St"A32,A32,0
"Canal St"A34,A34,"World Trade Center"E01,E01,199
"Canal St"A34,A34,"Spring St"A33,A33,21
"86 St"N10,N10,"Avenue U"N09,N09,65
"86 St"N10,N10,"Coney Island - Stillwell Av"D43,D43,0
"Liberty Av"A52,A52,"Broadway Jct"A51,A51,163
