
"Kew Gardens - Union Tpke"F06,F06,"75 Av"F07,F07,0
"Kew Gardens - Union Tpke"F06,F06,"Briarwood - Van Wyck Blvd"F05,F05,1260
"Kew Gardens - Union Tpke"F06,F06,"Jamaica - Van Wyck"G07,G07,1337
"Inwood - 207 St"A02,A02,"Dyckman St"A03,A03,0
"Aqueduct Racetrack"H01,H01,"Aqueduct - N Conduit Av"H02,H02,1072
"Aqueduct Racetrack"H01,H01,"Rockaway Blvd"A61,A61,0
"Cypress Hills"J19,J19,"75 St"J17,J17,0
"Cypress Hills"J19,J19,"Crescent St"J20,J20,0
"Canarsie - Rockaway Pkwy"L29,L29,"E 105 St"L28,L28,97
"Pelham Pkwy"211,211,"Allerton Av"210,210,688
"Pelham Pkwy"211,211,"Bronx Park East"212,212,0
"Woodlawn"401,401,"Mosholu Pkwy"402,402,20
"23 St"130,130,"18 St"131,131,362
"23 St"130,130,"28 St"129,129,55
"86 St"626,626,"59 St"629,629,0
"86 St"626,626,"125 St"621,621,4456
"86 St"626,626,"77 St"627,627,0
"86 St"626,626,"96 St"625,625,0
"174-175 Sts"D08,D08,"Tremont Av"D07,D07,1376
"174-175 Sts"D08,D08,"170 St"D09,D09,0
"E 105 St"L28,L28,"New Lots Av"L27,L27,0
"E 105 St"L28,L28,"Canarsie - Rockaway Pkwy"L29,L29,0
"57 St"B10,B10,"47-50 Sts - Rockefeller Ctr"D15,D15,0
"57 St"B10,B10,"Lexington Av/63 St"B08,B08,5413
"Fort Hamilton Pkwy"F26,F26,"15 St - Prospect Park"F25,F25,0
"Fort Hamilton Pkwy"F26,F26,"Church Av"F27,F27,1441
"Gates Av"J30,J30,"Kosciuszko St"J31,J31,0
"Gates Av"J30,J30,"Halsey St"J29,J29,97
"Gates Av"J30,J30,"Chauncey St"J28,J28,0
"Gates Av"J30,J30,"Myrtle Av"M11,M11,0
"Nostrand Av"248,248,"Kingston Av"249,249,203
"Nostrand Av"248,248,"Franklin Av"239,239,0
"Neck Rd"D38,D38,"Avenue U"D37,D37,0
"Neck Rd"D38,D38,"Sheepshead Bay"D39,D39,0
"3 Av - 138 St"619,619,"125 St"621,621,0
"3 Av - 138 St"619,619,"Hunts Point Av"613,613,3765
"3 Av - 138 St"619,619,"Brook Av"618,618,430
"Parsons Blvd"F03,F03,"169 St"F02,F02,698
"Parsons Blvd"F03,F03,"Sutphin Blvd"F04,F04,0
"176 St"410,410,"Mt Eden Av"411,411,110
"176 St"410,410,"Burnside Av"409,409,0
"72 St"123,123,"66 St - Lincoln Center"124,124,0
"72 St"123,123,"Times Sq - 42 St"127,127,0
"72 St"123,123,"79 St"122,122,22
"72 St"123,123,"96 St"120,120,1552
"137 St - City College"115,115,"145 St"114,114,1144
"137 St - City College"115,115,"125 St"116,116,0
"82 St - Jackson Hts"709,709,"74 St - Broadway"710,710,0
"82 St - Jackson Hts"709,709,"90 St - Elmhurst Av"708,708,0
"Broadway"G30,G30,"Flushing Av"G31,G31,0
"Broadway"G30,G30,"Metropolitan Av"G29,G29,0
"DeKalb Av"R30,R30,"Jay St - MetroTech"A41,A41,0
"DeKalb Av"R30,R30,"Canal St"639,639,0
"DeKalb Av"R30,R30,"Grand St"D22,D22,0
"DeKalb Av"R30,R30,"Atlantic Av - Barclays Ctr"235,235,4546
"207 St"108,108,"215 St"107,107,0
"207 St"108,108,"Dyckman St"109,109,275
"Gun Hill Rd"208,208,"Burke Av"209,209,0
"Gun Hill Rd"208,208,"219 St"207,207,426
"Hunters Point Av"720,720,"Court Sq"719,719,5551
"Hunters Point Av"720,720,"Vernon Blvd - Jackson Av"721,721,0
"Jamaica - 179 St"F01,F01,"169 St"F02,F02,0
"Church Av"D28,D28,"Newkirk Plaza"D31,D31,3107
"Church Av"D28,D28,"Beverley Rd"D29,D29,164
"Church Av"D28,D28,"Prospect Park"D26,D26,0
"Church Av"D28,D28,"Parkside Av"D27,D27,0
"Sterling St"242,242,"President St"241,241,0
"Sterling St"242,242,"Winthrop St"243,243,589
"Burke Av"209,209,"Gun Hill Rd"208,208,654
"Burke Av"209,209,"Allerton Av"210,210,0
"Kings Hwy"F35,F35,"Avenue P"F34,F34,0
"Kings Hwy"F35,F35,"Avenue U"F36,F36,385
"Woodside - 61 St"712,712,"69 St"711,711,2289
"Woodside - 61 St"712,712,"Queensboro Plaza"718,718,0
"Woodside - 61 St"712,712,"Junction Blvd"707,707,4359
"Woodside - 61 St"712,712,"52 St"713,713,0
"Brooklyn Bridge - City Hall"640,640,"Canal St"639,639,0
"Brooklyn Bridge - City Hall"640,640,"Fulton St"229,229,398
"Brooklyn Bridge - City Hall"640,640,"14 St - Union Sq"635,635,0
"18 Av"B19,B19,"20 Av"B20,B20,698
"18 Av"B19,B19,"79 St"B18,B18,0
"Bay Pkwy"B21,B21,"20 Av"B20,B20,0
"Bay Pkwy"B21,B21,"25 Av"B22,B22,27
"Castle Hill Av"607,607,"Parkchester"608,608,0
"Castle Hill Av"607,607,"Westchester Sq - E Tremont Av"604,604,561
"Prospect Av"219,219,"Intervale Av"218,218,2210
"Prospect Av"219,219,"Jackson Av"220,220,0
"Pelham Pkwy"504,504,"Morris Park"505,505,0
"Pelham Pkwy"504,504,"Gun Hill Rd"503,503,503
"138 St - Grand Concourse"416,416,"125 St"621,621,0
"138 St - Grand Concourse"416,416,"149 St - Grand Concourse"222,222,879
"Borough Hall"232,232,"Hoyt St"233,233,0
"Borough Hall"232,232,"Clark St"231,231,0
"Borough Hall"232,232,"Nevins St"234,234,5143
"Borough Hall"232,232,"Bowling Green"420,420,0
"Fort Hamilton Pkwy"N03,N03,"8 Av"N02,N02,0
"Fort Hamilton Pkwy"N03,N03,"New Utrecht Av"N04,N04,1643
"City Hall"R24,R24,"Canal St"639,639,125
"City Hall"R24,R24,"Cortlandt St"R25,R25,0
"Franklin Av"A45,A45,"Park Pl"S03,S03,197
"Franklin Av"A45,A45,"Clinton - Washington Avs"A44,A44,0
"Franklin Av"A45,A45,"Nostrand Av"A46,A46,0
"Church Av"244,244,"Winthrop St"243,243,0
"Church Av"244,244,"Beverly Rd"245,245,962
"Canal St"A34,A34,"Chambers St"A36,A36,1336
"Canal St"A34,A34,"W 4 St"A32,A32,0
"Canal St"A34,A34,"World Trade Center"E01,E01,0
